[train] device: cuda
[split] kept 5837/5949 rows with FITS on disk (929 positives)
[split] split counts:
label     0    1
split           
test    490   93
train  3436  650
val     982  186
[stat] computing per-band mean/std from 500 training cutouts
[stat] mean=[0.003005614271387458, 0.0058005983009934425, 0.01092549692839384],  std=[0.11233286559581757, 0.15523555874824524, 0.21915051341056824]
[e 65] lr=1.0e-04  train=0.0329  val=0.0497  val_auc=0.9972  t=12.2 min
[e 66] lr=1.0e-04  train=0.0295  val=0.0808  val_auc=0.9929  t=12.4 min
[e 67] lr=1.0e-04  train=0.0302  val=0.0743  val_auc=0.9957  t=12.7 min
[e 68] lr=1.0e-04  train=0.0299  val=0.0735  val_auc=0.9942  t=12.9 min
[e 69] lr=1.0e-04  train=0.0241  val=0.0531  val_auc=0.9975  t=13.1 min
[e 70] lr=1.0e-04  train=0.0271  val=0.0558  val_auc=0.9976  t=13.3 min
[e 71] lr=1.0e-04  train=0.0318  val=0.0405  val_auc=0.9982  t=13.5 min
[e 72] lr=1.0e-04  train=0.0301  val=0.0454  val_auc=0.9978  t=13.7 min
[e 73] lr=1.0e-04  train=0.0292  val=0.0478  val_auc=0.9975  t=14.0 min
[e 74] lr=1.0e-04  train=0.0239  val=0.0697  val_auc=0.9967  t=14.2 min
[e 75] lr=1.0e-04  train=0.0293  val=0.0691  val_auc=0.9958  t=14.4 min
[e 76] lr=1.0e-04  train=0.0165  val=0.0686  val_auc=0.9960  t=14.7 min
[e 77] lr=1.0e-04  train=0.0239  val=0.0489  val_auc=0.9971  t=14.9 min
[e 78] lr=1.0e-04  train=0.0270  val=0.0645  val_auc=0.9970  t=15.1 min
[e 79] lr=1.0e-04  train=0.0230  val=0.0780  val_auc=0.9937  t=15.3 min
[e 80] lr=1.0e-04  train=0.0267  val=0.0432  val_auc=0.9983  t=15.5 min
[e 81] lr=1.0e-05  train=0.0177  val=0.0626  val_auc=0.9962  t=15.7 min
[e 82] lr=1.0e-05  train=0.0207  val=0.0603  val_auc=0.9974  t=16.0 min
[e 83] lr=1.0e-05  train=0.0227  val=0.0468  val_auc=0.9979  t=16.2 min
[e 84] lr=1.0e-05  train=0.0192  val=0.0668  val_auc=0.9968  t=16.5 min
[e 85] lr=1.0e-05  train=0.0232  val=0.0472  val_auc=0.9979  t=16.7 min
[e 86] lr=1.0e-05  train=0.0231  val=0.0466  val_auc=0.9978  t=17.0 min
[e 87] lr=1.0e-05  train=0.0186  val=0.0555  val_auc=0.9977  t=17.2 min
[e 88] lr=1.0e-05  train=0.0232  val=0.0479  val_auc=0.9983  t=17.5 min
[e 89] lr=1.0e-05  train=0.0197  val=0.0609  val_auc=0.9964  t=17.7 min
[e 90] lr=1.0e-05  train=0.0207  val=0.0719  val_auc=0.9968  t=17.9 min
[e 91] lr=1.0e-05  train=0.0222  val=0.0582  val_auc=0.9974  t=18.2 min
[e 92] lr=1.0e-05  train=0.0215  val=0.0639  val_auc=0.9968  t=18.5 min
[e 93] lr=1.0e-05  train=0.0223  val=0.0421  val_auc=0.9983  t=18.7 min
[e 94] lr=1.0e-05  train=0.0233  val=0.0543  val_auc=0.9975  t=18.9 min
[e 95] lr=1.0e-05  train=0.0181  val=0.0601  val_auc=0.9970  t=19.2 min
[e 96] lr=1.0e-05  train=0.0162  val=0.0488  val_auc=0.9978  t=19.4 min
[e 97] lr=1.0e-05  train=0.0212  val=0.0433  val_auc=0.9983  t=19.7 min
[e 98] lr=1.0e-05  train=0.0168  val=0.0629  val_auc=0.9969  t=19.9 min
[e 99] lr=1.0e-05  train=0.0183  val=0.0742  val_auc=0.9967  t=20.1 min
[e100] lr=1.0e-05  train=0.0247  val=0.0754  val_auc=0.9943  t=20.3 min
[e101] lr=1.0e-05  train=0.0194  val=0.0578  val_auc=0.9974  t=20.6 min
[e102] lr=1.0e-05  train=0.0235  val=0.0462  val_auc=0.9982  t=20.8 min
[e103] lr=1.0e-05  train=0.0235  val=0.0734  val_auc=0.9966  t=21.0 min
[e104] lr=1.0e-05  train=0.0210  val=0.0560  val_auc=0.9969  t=21.3 min
[e105] lr=1.0e-05  train=0.0222  val=0.0706  val_auc=0.9960  t=21.5 min
[e106] lr=1.0e-05  train=0.0187  val=0.0576  val_auc=0.9973  t=21.7 min
[e107] lr=1.0e-05  train=0.0173  val=0.0789  val_auc=0.9963  t=21.9 min
[e108] lr=1.0e-05  train=0.0172  val=0.0505  val_auc=0.9982  t=22.2 min
[e109] lr=1.0e-05  train=0.0177  val=0.0643  val_auc=0.9975  t=22.4 min
[e110] lr=1.0e-05  train=0.0192  val=0.0700  val_auc=0.9962  t=22.5 min
