row_id,p_shielded194k,p_effnet,p_meta,p_avg,ra,dec,p_l18,p_shielded60k,in_neuralens_l18,in_neuralens_shielded,in_huang2020,in_huang2021,in_storfer2024,in_inchausti2025,in_hsu2025,in_any
198846_1073,0.9999871,0.9999776,0.99975055,0.9999823570251465,44.92639110782738,-23.5900974852554,0.9997256398200989,0.9996383190155029,False,False,False,False,False,False,False,False
73683_3928,0.99999607,1.0,0.99975055,0.9999980330467224,357.37530997410585,-51.22755221747164,0.999996542930603,0.9999885559082031,False,False,False,False,False,False,False,False
193464_4318,0.9999906,0.9999999,0.99975055,0.999995231628418,13.389999378446804,-24.483345192585915,0.9999818801879883,0.9999392032623291,False,False,False,False,False,True,False,True
301694_5628,0.9999995,0.9999999,0.99975055,0.9999997019767761,26.26790816132988,-4.930937014718946,0.9999959468841553,0.9999727010726929,False,False,True,False,False,False,False,True
247869_65,0.99999094,0.9999999,0.99975055,0.9999954104423523,47.437967466166384,-14.621120225086194,0.9999856948852539,0.9999644756317139,True,False,False,True,False,False,False,True
137518_4818,0.9999901,0.9999999,0.99975055,0.9999949932098389,31.358765955071974,-35.663183816165684,0.9999853372573853,0.9998706579208374,False,False,False,False,False,False,False,False
437422_1498,0.9999845,0.99999976,0.99975055,0.9999921321868896,218.44676427463705,18.709826095193115,0.9999885559082031,0.9999481439590454,True,False,False,True,False,False,False,True
118121_1666,0.9999784,0.99999666,0.99975055,0.9999875426292419,13.640394096687164,-40.04835451586737,0.9998743534088135,0.9996471405029297,False,False,False,False,False,True,False,True
364103_3010,0.9999777,1.0,0.99975055,0.999988853931427,162.45767558709636,5.774943768317152,0.999444305896759,0.9986177682876587,False,False,True,False,False,False,False,True
235296_2656,0.99998903,1.0,0.99975055,0.9999945163726807,25.645680168291598,-16.80491851435373,0.9999794960021973,0.9999372959136963,False,False,False,False,False,False,False,False
171608_4291,0.99998987,1.0,0.99975055,0.9999949336051941,24.595687505620607,-28.73557621160702,0.9999682903289795,0.9999260902404785,True,False,False,True,False,False,False,True
217672_3542,0.999998,1.0,0.99975055,0.9999989867210388,68.10411485479148,-20.004034517481443,0.9999890327453613,0.9999459981918335,True,False,False,True,False,False,False,True
157847_3156,0.9999733,0.9999989,0.99975055,0.9999861121177673,9.773539523400126,-31.508172258315902,0.9995576739311218,0.999517560005188,False,False,False,False,False,False,False,False
118209_4885,0.99999535,1.0,0.99975055,0.9999976754188538,42.039757553936724,-39.93009536877908,0.9999788999557495,0.9997417330741882,False,False,False,False,True,False,False,True
348966_1802,0.99999416,1.0,0.99975055,0.999997079372406,329.6819910887365,2.958406941147747,0.9999864101409912,0.999834418296814,True,False,False,True,False,False,False,True
118209_4886,0.9999908,1.0,0.99975055,0.9999954104423523,42.04072561002744,-39.92974839285639,0.9999651908874512,0.999792754650116,False,False,False,False,True,False,False,True
632223_3512,0.9999851,0.99998987,0.99975055,0.9999874830245972,267.52834465798975,65.57186400219472,0.999772846698761,0.9990637898445129,False,False,False,False,False,False,False,False
133040_1688,0.9999776,0.9999988,0.99975055,0.9999881982803345,84.811963186202,-36.816652380497636,0.999981164932251,0.9999743700027466,False,False,False,False,True,False,False,True
133040_1687,0.9999982,1.0,0.99975055,0.9999991059303284,84.81263876869025,-36.816265194275196,0.9999744892120361,0.9999363422393799,False,False,False,False,True,False,False,True
234043_251,0.99999964,0.9999999,0.99975055,0.9999997615814209,58.44267508004141,-17.11091708986147,0.9999948740005493,0.9999768733978271,False,False,False,False,False,False,False,False
537725_2441,0.99998283,0.99999976,0.99975055,0.9999912977218628,104.19084675374403,38.74557555903812,0.999962329864502,0.9999164342880249,True,False,False,True,False,False,False,True
209487_7535,0.999987,0.9999931,0.99975055,0.9999900460243225,41.769589895883215,-21.389550993996206,0.9999634027481079,0.9999361038208008,False,False,False,False,False,False,False,False
250540_3080,0.99999595,0.9999994,0.99975055,0.9999976754188538,15.676300328997938,-14.015037055752552,0.9999659061431885,0.9997507929801941,True,False,False,True,False,False,False,True
170569_7403,0.9999902,1.0,0.99975055,0.9999951124191284,88.29681904061614,-28.893412184869526,0.9999163150787354,0.9998351335525513,False,False,False,False,False,False,False,False
200057_2452,0.99997294,0.99999964,0.99975055,0.9999862909317017,14.520185978641889,-23.287149868587996,0.9999561309814453,0.9999194145202637,False,False,False,False,False,False,False,False
137557_2365,0.9999864,0.9999999,0.99975055,0.9999931454658508,43.397143511293535,-35.79208791335543,0.9999773502349854,0.9997666478157043,False,False,False,False,False,False,False,False
549027_811,0.9999994,0.999959,0.99975055,0.9999791979789734,181.39744696790007,41.178996588363404,0.99991774559021,0.9997854828834534,True,False,False,True,False,False,False,True
177986_5276,1.0,1.0,0.99975055,1.0,31.777791255163105,-27.445710643948466,0.9999983310699463,0.9999958276748657,False,True,False,True,False,False,False,True
177986_5277,0.99998903,0.99999535,0.99975055,0.9999921917915344,31.775147727986088,-27.44452470068057,0.9999868869781494,0.9985404014587402,False,True,False,True,False,False,False,True
73683_3929,0.9999893,0.99999917,0.99975055,0.9999942183494568,357.372504482567,-51.227469585600446,0.9999884366989136,0.9998960494995117,False,False,False,False,False,False,False,False
512272_1526,0.99997747,0.9999995,0.99975055,0.9999884963035583,178.0008678650517,33.228472193267024,0.9999277591705322,0.99714595079422,False,False,False,False,False,False,False,False
332669_6804,0.9999932,0.9999999,0.99975055,0.999996542930603,215.26539167891528,0.37194137848493686,0.9999885559082031,0.9999369382858276,False,False,True,False,False,False,False,True
156771_236,0.9999974,0.9999999,0.99975055,0.9999986290931702,54.321934256141745,-31.870442300709506,0.9999864101409912,0.999937891960144,False,False,False,False,False,False,False,False
533202_2822,0.99998295,1.0,0.99975055,0.9999914765357971,109.38551258187,37.74297744825697,0.9993414282798767,0.9976285099983215,False,False,False,False,False,False,False,False
298797_4805,0.99997854,0.9999999,0.99975055,0.9999892115592957,19.49486787101966,-5.454964423266027,0.99994957447052,0.9999226331710815,False,False,True,False,False,False,False,True
151884_2941,0.999997,1.0,0.99975055,0.9999985098838806,51.79733330822066,-32.77616057236318,0.9998906850814819,0.9998313188552856,False,False,False,False,False,False,False,False
176705_5323,0.99998665,0.99999905,0.99975055,0.999992847442627,30.43599829334579,-27.661808943131046,0.9999730587005615,0.99991774559021,True,False,False,True,False,False,False,True
239431_3963,0.9999833,0.9999999,0.99975055,0.9999915957450867,22.7106905892965,-16.00249024797403,0.9999266862869263,0.99982750415802,False,False,True,False,False,False,False,True
188313_1868,0.9999784,0.9999993,0.99975055,0.999988853931427,33.461696926529044,-25.562382657636938,0.9988640546798706,0.9993106126785278,False,False,False,False,False,False,False,False
299327_445,0.9999931,0.9999987,0.99975055,0.9999958872795105,152.38889722983538,-5.601683901243837,0.999975323677063,0.9998345375061035,True,False,False,True,False,False,True,True
53349_2975,0.9999814,0.99999976,0.99975055,0.9999905824661255,355.272718434132,-57.26615168978986,0.9999898672103882,0.999862790107727,True,False,False,True,False,False,False,True
313321_4187,0.9999864,0.99999833,0.99975055,0.9999923706054688,58.489262539631596,-2.9635692127256905,0.9492201805114746,0.9999485015869141,False,False,False,False,False,False,False,False
100817_4755,0.9999727,1.0,0.99975055,0.9999863505363464,316.5298918812485,-44.19825255123458,0.9999579191207886,0.9993521571159363,False,False,False,False,True,False,False,True
238185_7308,0.99999297,1.0,0.99975055,0.9999964833259583,58.57613175840051,-16.16449149783156,0.9999525547027588,0.9999634027481079,False,False,False,False,False,False,False,False
256199_3099,0.99999666,1.0,0.99975055,0.9999983310699463,29.681924851297925,-13.0258480261217,0.9999749660491943,0.9999687671661377,False,False,False,False,False,False,False,False
107138_402,0.9999931,0.99999714,0.99975055,0.9999951124191284,324.7803388566365,-42.86158106568141,0.9999887943267822,0.9999865293502808,False,False,False,False,True,False,False,True
124958_6135,0.999998,0.99999976,0.99975055,0.9999988675117493,58.17676223652268,-38.42916180031138,0.999982476234436,0.999913215637207,False,False,False,False,False,False,False,False
188223_5516,0.9999994,1.0,0.99975055,0.9999997019767761,8.781640298861484,-25.449384747488207,0.9999885559082031,0.9998942613601685,False,False,False,False,False,False,False,False
206878_761,0.9999962,1.0,0.99975055,0.9999980926513672,60.52333069324103,-22.099486664944234,0.9999897480010986,0.9999058246612549,True,False,False,True,False,False,False,True
206878_760,0.99999654,1.0,0.99975055,0.9999982714653015,60.52382628642508,-22.09899149854457,0.9999674558639526,0.9999350309371948,True,False,False,True,False,False,False,True
197547_6552,0.9999794,0.9999993,0.99975055,0.9999893307685852,50.67689121287228,-23.66521691630923,0.9999502897262573,0.9998786449432373,False,False,False,False,False,False,False,False
436040_3245,0.99999845,0.9999912,0.99975055,0.9999948143959045,214.39647400086466,18.474489101581227,0.007066612131893635,0.9997754693031311,False,False,False,False,False,False,False,False
149515_2061,0.99999523,1.0,0.99975055,0.999997615814209,66.16119089016104,-33.294921143638774,0.9999954700469971,0.9999675750732422,False,False,False,False,True,False,False,True
317500_2088,0.99999726,1.0,0.99975055,0.9999986290931702,23.01272565824546,-2.3005754375502554,0.9999632835388184,0.999910831451416,False,True,False,True,False,False,False,True
292418_2893,0.9999995,0.99999976,0.99975055,0.9999996423721313,216.8279562977659,-6.7541260530279015,0.9999914169311523,0.9996321201324463,False,False,True,False,False,False,False,True
446019_1241,0.9999888,0.99998593,0.99975055,0.9999873638153076,334.91552633984713,20.17938560115584,0.23371468484401703,0.999796450138092,False,False,False,False,False,False,False,False
257579_266,0.9999893,0.9999995,0.99975055,0.9999943971633911,23.342160966403267,-12.867040689178783,0.9999765157699585,0.9999545812606812,False,False,False,False,False,False,False,False
326217_1086,0.9999944,1.0,0.99975055,0.9999971985816956,42.29886007785897,-0.8146001297596446,0.9999960660934448,0.9999687671661377,False,False,False,False,False,False,False,False
