name,RA,DEC,grade,probability,region,tractor_type,ref,cutout_ok,our_p_resnet,our_p_effnet,our_p_meta,our_p_avg
DESI-061.2266-26.9897,61.22658879,-26.98972119,A,0.85,DECaLS,DEV,,True,0.90596634,0.70892864,0.9951775,0.8074474930763245
DESI-061.8151-57.2176,61.81508181,-57.21763243,A,1.0,DECaLS,SER,i,True,0.99998736,1.0,0.99975055,0.9999936819076538
DESI-063.3487-51.2974,63.34868501,-51.29741064,A,1.0,DECaLS,EXP,w,True,0.99983025,0.99997044,0.99974996,0.9999003410339355
DESI-065.2010-56.5130,65.20099377,-56.51301275,A,0.97,DECaLS,SER,,True,0.9710869,0.99999976,0.9996475,0.9855433404445648
DESI-065.6056-40.5322,65.60555998,-40.53216846,A,1.0,DECaLS,SER,i,True,0.9999809,1.0,0.99975055,0.9999904632568359
DESI-066.1612-33.2949,66.1612,-33.2949,A,1.0,DECaLS,DEV,i,True,0.99999857,1.0,0.99975055,0.9999992847442627
DESI-072.5019-33.0483,72.50191398,-33.04825672,A,0.96,DECaLS,DEV,v,True,0.9947373,0.9999999,0.99973434,0.9973686039447784
DESI-072.9777+00.1050,72.9777,0.105,A,0.93,DECaLS,DEV,,True,0.8414564,0.9977653,0.99845815,0.919610857963562
DESI-073.2574-41.6668,73.25735143,-41.66681522,A,0.8,DECaLS,DEV,v,True,0.99838173,0.99999714,0.99974567,0.9991894364356995
DESI-073.4708-50.3764,73.47076154,-50.37636364,A,0.99,DECaLS,SER,v t,True,0.9999119,0.9999949,0.9997503,0.9999533891677856
DESI-074.6339-09.1200,74.6339,-9.12,A,0.99,DECaLS,SER,,True,0.17792147,0.9956292,0.9163397,0.5867753326892853
DESI-074.9287-37.9363,74.92871389,-37.93629237,A,0.73,DECaLS,SER,w v,True,0.9802131,1.0,0.99968374,0.9901065528392792
DESI-082.7593-40.7222,82.75930722,-40.72221209,A,1.0,DECaLS,SER,v,True,0.99988925,0.9999877,0.9997502,0.9999384880065918
DESI-084.0219-53.6464,84.0219,-53.6464,A,0.41,DECaLS,DEV,i f,True,0.9999815,1.0,0.99975055,0.9999907612800598
DESI-085.3628-58.7975,85.36279885,-58.79749385,A,0.99,DECaLS,SER,,True,0.99825567,0.9999902,0.9997453,0.9991229474544525
DESI-085.8768-36.4863,85.87680379,-36.48627487,A,0.41,DECaLS,SER,v,True,0.9845318,0.99999666,0.9996997,0.9922642409801483
DESI-091.1805-41.8103,91.18049141,-41.81029307,A,1.0,DECaLS,REX,,True,0.9998276,0.9999864,0.9997501,0.9999070167541504
DESI-091.7214-58.9787,91.72143421,-58.9787342,A,1.0,DECaLS,DEV,v t,True,0.9999975,0.9999993,0.99975055,0.9999983906745911
DESI-095.2850-61.3067,95.28498667,-61.30673545,A,1.0,DECaLS,SER,v,True,0.99749017,1.0,0.9997429,0.9987450838088989
DESI-100.2516+64.4877,100.2516299,64.48772499,A,1.0,BASS/MzLS,DEV,v,True,0.9999995,0.99998224,0.99975055,0.9999908804893494
DESI-110.3511+39.3824,110.3511495,39.38244201,A,0.9,BASS/MzLS,DEV,,True,0.9962322,0.0058225035,0.89443433,0.5010273575317115
DESI-120.2369+36.0566,120.2369,36.0566,A,0.58,BASS/MzLS,DEV,,True,0.9988009,0.88788944,0.9994567,0.9433451592922211
DESI-125.1362+03.6948,125.1362,3.6948,A,0.49,DECaLS,SER,,True,0.83340394,0.9994797,0.9983418,0.9164418280124664
DESI-126.6199+16.5035,126.6199169,16.50354611,A,1.0,DECaLS,DEV,v,True,0.99871993,0.9985862,0.9997441,0.9986530542373657
DESI-132.2632+15.5847,132.263209,15.58471864,A,0.88,DECaLS,DEV,,True,0.0022360128,0.9643242,0.7182801,0.48328009457327425
