RA,DEC,source,is_new,Name,status,flux_std
29.3166,-0.1216,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.3166-00.1216,ok,0.029899930581450462
29.3185,-5.2537,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.3185-05.2537,ok,0.016689350828528404
29.3326,-5.0109,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.3326-05.0109,ok,0.029786046594381332
29.36491,-2.44931,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.3649-02.4493,ok,0.00805398914963007
29.36879,-3.23341,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.3688-03.2334,ok,0.0249871164560318
29.38121,-3.51602,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.3812-03.5160,ok,0.009272964671254158
29.45994,-0.63849,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.4599-00.6385,ok,0.013978543691337109
29.48589,-2.30277,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.4859-02.3028,ok,0.034277357161045074
29.4859,-4.90013,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.4859-04.9001,ok,0.010639500804245472
29.49844,-2.1709,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.4984-02.1709,ok,0.012788385152816772
29.4962,-5.74708,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.4962-05.7471,ok,0.006767247337847948
29.57901,-1.73302,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.5790-01.7330,ok,0.09582999348640442
29.57891,-2.90805,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.5789-02.9080,ok,0.02120855078101158
29.58113,-1.95093,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.5811-01.9509,ok,0.01772455871105194
29.63046,-1.11496,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.6305-01.1150,ok,0.009107965044677258
29.63751,-4.34565,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.6375-04.3457,ok,0.007627400569617748
29.64352,-4.40282,Sonnenfeld2020_SuGOHI_VI,True,DESI-029.6435-04.4028,ok,0.01888195611536503
