name,RA,DEC,grade,probability,region,tractor_type,ref,status,bytes
DESI-110.3511+39.3824,110.3511495,39.38244201,A,0.9,BASS/MzLS,DEV,,skip,126720
DESI-120.2369+36.0566,120.2369,36.0566,A,0.58,BASS/MzLS,DEV,,skip,126720
DESI-125.1362+03.6948,125.1362,3.6948,A,0.49,DECaLS,SER,,skip,126720
DESI-126.6199+16.5035,126.6199169,16.50354611,A,1.0,DECaLS,DEV,v,skip,126720
DESI-132.2632+15.5847,132.263209,15.58471864,A,0.88,DECaLS,DEV,,skip,126720
DESI-140.2081+45.3662,140.2081,45.3662,A,0.78,BASS/MzLS,DEV,v,skip,126720
DESI-140.2180+09.0616,140.2180393,9.061597537,A,0.49,DECaLS,DEV,v,skip,126720
DESI-140.6980+15.6920,140.6980486,15.6919792,A,1.0,DECaLS,SER,v,skip,126720
DESI-147.1781+02.0143,147.1781,2.014272972,A,0.96,DECaLS,DEV,,skip,126720
DESI-155.7849+51.1794,155.7848713,51.17943388,A,0.9,BASS/MzLS,SER,v,skip,126720
DESI-170.0945+19.3235,170.0944587,19.32345458,A,0.99,DECaLS,SER,,skip,126720
DESI-175.6114+11.5131,175.6113809,11.51306077,A,0.79,DECaLS,DEV,,skip,126720
DESI-176.1885+28.0522,176.1885081,28.05221037,A,0.94,DECaLS,EXP,v,skip,126720
DESI-176.8472+33.5316,176.8472,33.5316,A,0.42,BASS/MzLS,DEV,v,skip,126720
DESI-188.6920+23.0169,188.692,23.0169,A,0.49,DECaLS,SER,,skip,126720
DESI-191.9769+24.9899,191.9769,24.9899,A,0.6,DECaLS,REX,,skip,126720
DESI-198.0034+06.7318,198.0033938,6.731820402,A,0.47,DECaLS,SER,,skip,126720
DESI-198.7770+51.8168,198.7719,51.8175,A,0.45,BASS/MzLS,SER,,skip,126720
DESI-204.1933+33.4777,204.1932876,33.47770076,A,0.82,BASS/MzLS,SER,l,skip,126720
DESI-205.1337-00.6272,205.1336948,-0.6272202776,A,1.0,DECaLS,DEV,,skip,126720
DESI-205.4070+20.0800,205.4066,20.0794,A,0.99,DECaLS,SER,v,skip,126720
DESI-242.3459+16.0002,242.3468,16.0009,A,1.0,DECaLS,EXP,v,skip,126720
DESI-253.7972+59.9533,253.797241,59.95334559,A,0.95,BASS/MzLS,SER,,skip,126720
DESI-302.8575-57.4194,302.8624,-57.4197,A,0.8,DECaLS,EXP,,skip,126720
DESI-318.0894-48.0294,318.0893577,-48.02937115,A,1.0,DECaLS,SER,w v,skip,126720
DESI-319.5030-08.6882,319.5030089,-8.688180344,A,0.57,DECaLS,SER,,skip,126720
DESI-320.0442+00.0994,320.0441553,0.09942894353,A,0.99,DECaLS,SER,,skip,126720
DESI-321.1129-61.4196,321.112896,-61.41956663,A,1.0,DECaLS,DEV,w,skip,126720
DESI-322.8425-58.9938,322.8424691,-58.99383007,A,0.81,DECaLS,SER,,skip,126720
DESI-324.2094-62.6820,324.2094304,-62.68201997,A,0.5,DECaLS,SER,,skip,126720
DESI-324.5073-60.1290,324.5035,-60.1317,A,0.52,DECaLS,DEV,,skip,126720
DESI-324.7803-42.8616,324.7803454,-42.86157591,A,1.0,DECaLS,SER,v i,skip,126720
DESI-331.3228-44.0673,331.3224,-44.0698,A,0.52,DECaLS,DEV,,skip,126720
DESI-331.6644+13.3813,331.6647,13.3842,A,1.0,DECaLS,DEV,,skip,126720
DESI-332.5120+26.0689,332.5120253,26.06889445,A,0.99,DECaLS,SER,v,skip,126720
DESI-335.9213-63.4922,335.9213321,-63.49215689,A,0.96,DECaLS,SER,w v,skip,126720
DESI-337.6681-59.6442,337.6680706,-59.64422297,A,1.0,DECaLS,DEV,,skip,126720
DESI-338.1410-59.9981,338.1409818,-59.99812739,A,0.99,DECaLS,SER,i,skip,126720
DESI-340.5899+00.1957,340.5899337,0.1957229104,A,0.92,DECaLS,SER,g o m,skip,126720
DESI-341.1450-59.1528,341.1449858,-59.15283486,A,1.0,DECaLS,DEV,v,skip,126720
DESI-342.1955-44.5260,342.183,-44.5309,A,0.9,DECaLS,SER,,skip,126720
DESI-343.6329-50.4884,343.632928,-50.48840085,A,0.46,DECaLS,SER,,skip,126720
DESI-348.7317-55.8859,348.7317018,-55.88592476,A,0.99,DECaLS,SER,v,skip,126720
DESI-349.9368-40.2188,349.9367719,-40.21875452,A,0.94,DECaLS,SER,,skip,126720
DESI-350.1423-54.4543,350.1422919,-54.45425385,A,0.97,DECaLS,SER,,skip,126720
DESI-350.6766-64.1645,350.6816,-64.1651,A,1.0,DECaLS,DEV,i,skip,126720
DESI-352.8496+03.3890,352.85,3.3898,A,0.63,DECaLS,DEV,,skip,126720
DESI-352.9621-50.8607,352.9632,-50.865,A,0.93,DECaLS,DEV,,skip,126720
DESI-354.9215+00.0122,354.9215246,0.01215600098,A,0.91,DECaLS,REX,,skip,126720
DESI-355.6501-46.8744,355.6500946,-46.87442705,A,0.63,DECaLS,SER,w v,skip,126720
DESI-359.4515-64.4272,359.4514591,-64.42723639,A,0.97,DECaLS,SER,,skip,126720
DESI-000.3685-57.8585,0.3685421137,-57.85849526,B,1.0,DECaLS,SER,v,skip,126720
DESI-001.0940-57.9686,1.0912,-57.9693,B,0.89,DECaLS,REX,,skip,126720
DESI-001.1455-42.5329,1.145512737,-42.53288885,B,0.64,DECaLS,SER,,skip,126720
DESI-001.9844-04.9318,1.9847,-4.9329,B,0.93,DECaLS,SER,,skip,126720
DESI-002.2189-33.5805,2.218932037,-33.58050953,B,0.89,DECaLS,SER,,skip,126720
DESI-002.8346-08.7645,2.834612303,-8.764535939,B,0.72,DECaLS,REX,,skip,126720
DESI-003.3768-41.7288,3.376754653,-41.72881852,B,0.77,DECaLS,SER,,skip,126720
DESI-003.7573-53.1397,3.757286434,-53.13966545,B,0.59,DECaLS,SER,,skip,126720
DESI-004.1005-27.8400,4.100464467,-27.83995039,B,1.0,DECaLS,SER,,skip,126720
DESI-005.2712-28.6385,5.271234208,-28.6384899,B,0.67,DECaLS,SER,,skip,126720
DESI-005.5322-10.1832,5.532183418,-10.18323433,B,0.51,DECaLS,DEV,v,skip,126720
DESI-005.5714-00.6091,5.571383753,-0.6090947855,B,1.0,DECaLS,EXP,,skip,126720
DESI-005.6187+01.8037,5.6186701,1.803655021,B,1.0,DECaLS,DEV,n,skip,126720
DESI-005.7394+06.9065,5.739423943,6.906458106,B,0.97,DECaLS,EXP,,skip,126720
DESI-006.2945-49.7741,6.294508647,-49.77406904,B,1.0,DECaLS,SER,v t,skip,126720
DESI-006.7336-59.0876,6.733636532,-59.08760276,B,0.95,DECaLS,SER,,skip,126720
DESI-006.9048-06.0151,6.904787997,-6.015058371,B,0.61,DECaLS,SER,,skip,126720
DESI-007.3486-57.4832,7.348565448,-57.48317268,B,0.87,DECaLS,SER,,skip,126720
DESI-008.9543-29.6876,8.954346401,-29.68759501,B,0.93,DECaLS,SER,,skip,126720
DESI-008.9813-23.1172,8.981,-23.1183,B,0.93,DECaLS,REX,,skip,126720
DESI-009.1954-47.0114,9.195445518,-47.01143694,B,0.79,DECaLS,EXP,,skip,126720
DESI-009.2424-51.2087,9.242411895,-51.20865264,B,0.91,DECaLS,SER,,skip,126720
DESI-009.4373-51.2525,9.437320218,-51.25247368,B,0.59,DECaLS,SER,,skip,126720
DESI-009.5202-45.3543,9.520185077,-45.35433342,B,1.0,DECaLS,SER,v,skip,126720
DESI-009.5746+19.7738,9.574558369,19.77377794,B,1.0,DECaLS,SER,v,ok,126720
DESI-009.6740-43.7120,9.67399117,-43.71202042,B,1.0,DECaLS,SER,v,ok,126720
DESI-010.3084-06.7092,10.30839271,-6.709190732,B,0.59,DECaLS,SER,,ok,126720
DESI-010.5514-20.4357,10.55144405,-20.43566228,B,0.69,DECaLS,SER,,ok,126720
DESI-010.9437-50.1036,10.9437202,-50.10363148,B,1.0,DECaLS,SER,v,ok,126720
DESI-011.0894-23.0368,11.08939553,-23.03678428,B,0.64,DECaLS,SER,,skip,126720
DESI-011.1385-32.0233,11.13853835,-32.02333582,B,0.69,DECaLS,SER,v,skip,126720
DESI-011.1538-00.9237,11.1551,-0.9223,B,0.88,DECaLS,SER,w,skip,126720
DESI-011.2093-34.3125,11.20934134,-34.31249387,B,0.87,DECaLS,SER,v,skip,126720
DESI-011.8229-17.8748,11.82292669,-17.87476103,B,0.85,DECaLS,DEV,,skip,126720
DESI-012.2587-35.8012,12.26,-35.803,B,0.96,DECaLS,SER,,skip,126720
DESI-012.7497-59.8884,12.7515,-59.8873,B,0.9,DECaLS,REX,,skip,126720
DESI-013.2562-05.7988,13.2561991,-5.798834108,B,0.69,DECaLS,SER,,skip,126720
DESI-013.2589+18.3657,13.25893281,18.36574416,B,0.99,DECaLS,EXP,,skip,126720
DESI-013.4929-41.6758,13.49286024,-41.67576678,B,0.48,DECaLS,REX,,skip,126720
DESI-013.7459-22.0606,13.74586927,-22.06064725,B,1.0,DECaLS,REX,,skip,126720
DESI-014.0919+24.1151,14.0919048,24.11510161,B,0.64,DECaLS,DEV,,skip,126720
DESI-014.1749-32.3597,14.17487557,-32.35974488,B,1.0,DECaLS,REX,,skip,126720
DESI-014.2521-54.2823,14.25206473,-54.28230715,B,0.57,DECaLS,SER,v,skip,126720
DESI-014.3885-20.0674,14.38854389,-20.067425,B,1.0,DECaLS,SER,,skip,126720
DESI-014.5532-52.8510,14.55320099,-52.85104685,B,0.99,DECaLS,SER,,skip,126720
