[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest_mix.jsonl
[data] 1137 healpix records
[data] healpix split: 1080 train, 57 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 266658 z values, min=-0.0019 max=5.3572
[step   1600] loss=196.2838 z_loss=3.818 spec_loss=1.593 z_acc=0.182 spec_acc=0.569 masked_acc=0.563 rz_masked_acc=0.000 mask_r2=0.788 mask_auc=nan all_r2=0.791 all_auc=nan 0.4 step/s
[step   1700] loss=191.3194 z_loss=3.721 spec_loss=1.646 z_acc=0.125 spec_acc=0.551 masked_acc=0.555 rz_masked_acc=0.083 mask_r2=0.786 mask_auc=nan all_r2=0.784 all_auc=nan 0.4 step/s
[step   1800] loss=210.7063 z_loss=4.110 spec_loss=1.234 z_acc=0.053 spec_acc=0.658 masked_acc=0.659 rz_masked_acc=0.000 mask_r2=0.834 mask_auc=nan all_r2=0.838 all_auc=nan 0.4 step/s
[step   1900] loss=195.2622 z_loss=3.792 spec_loss=1.968 z_acc=0.130 spec_acc=0.479 masked_acc=0.476 rz_masked_acc=0.214 mask_r2=0.742 mask_auc=nan all_r2=0.742 all_auc=nan 0.4 step/s
[step   2000] loss=207.0366 z_loss=4.024 spec_loss=1.938 z_acc=0.087 spec_acc=0.489 masked_acc=0.491 rz_masked_acc=0.077 mask_r2=0.748 mask_auc=nan all_r2=0.746 all_auc=nan 0.4 step/s
[val     2000] loss=238.5405 overall_acc=0.3545 redshift_acc=0.0232 spectrum_acc=0.3557 loss_redshift=4.6286 loss_spectrum=2.5072 loss_total=2.5149 masked_spec_acc=0.3570 redshift_acc_masked=0.0189 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=238.5405 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/best.pt
  [ar_best   2000] ar_redshift_acc=0.017699115044247787 ar_spectrum_acc=0.1731984829329962 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=226
[step   2100] loss=185.5438 z_loss=3.610 spec_loss=1.510 z_acc=0.105 spec_acc=0.605 masked_acc=0.607 rz_masked_acc=0.182 mask_r2=0.798 mask_auc=nan all_r2=0.802 all_auc=nan 0.4 step/s
[step   2200] loss=202.6467 z_loss=3.937 spec_loss=1.922 z_acc=0.136 spec_acc=0.496 masked_acc=0.498 rz_masked_acc=0.000 mask_r2=0.749 mask_auc=nan all_r2=0.748 all_auc=nan 0.4 step/s
[step   2300] loss=178.1214 z_loss=3.466 spec_loss=1.416 z_acc=0.158 spec_acc=0.621 masked_acc=0.616 rz_masked_acc=0.333 mask_r2=0.812 mask_auc=nan all_r2=0.814 all_auc=nan 0.4 step/s
[step   2400] loss=201.1233 z_loss=3.910 spec_loss=1.709 z_acc=0.111 spec_acc=0.548 masked_acc=0.557 rz_masked_acc=0.000 mask_r2=0.778 mask_auc=nan all_r2=0.776 all_auc=nan 0.4 step/s
[step   2500] loss=164.2863 z_loss=3.185 spec_loss=1.757 z_acc=0.000 spec_acc=0.536 masked_acc=0.524 rz_masked_acc=0.000 mask_r2=0.763 mask_auc=nan all_r2=0.770 all_auc=nan 0.4 step/s
[val     2500] loss=235.5367 overall_acc=0.3626 redshift_acc=0.0187 spectrum_acc=0.3639 loss_redshift=4.5711 loss_spectrum=2.4492 loss_total=2.4569 masked_spec_acc=0.3634 redshift_acc_masked=0.0150 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=235.5367 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/best.pt
  [ar_best   2500] ar_redshift_acc=0.008849557522123894 ar_spectrum_acc=0.15574248760089468 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=226
  ckpt -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/step_00002500.pt
[step   2600] loss=172.1626 z_loss=3.345 spec_loss=1.588 z_acc=0.174 spec_acc=0.562 masked_acc=0.570 rz_masked_acc=0.000 mask_r2=0.794 mask_auc=nan all_r2=0.792 all_auc=nan 0.3 step/s
[step   2700] loss=187.2399 z_loss=3.648 spec_loss=1.374 z_acc=0.087 spec_acc=0.622 masked_acc=0.619 rz_masked_acc=0.000 mask_r2=0.818 mask_auc=nan all_r2=0.820 all_auc=nan 0.4 step/s
[step   2800] loss=222.3298 z_loss=4.339 spec_loss=1.179 z_acc=0.105 spec_acc=0.668 masked_acc=0.674 rz_masked_acc=0.091 mask_r2=0.844 mask_auc=nan all_r2=0.846 all_auc=nan 0.4 step/s
[step   2900] loss=164.2382 z_loss=3.191 spec_loss=1.611 z_acc=0.111 spec_acc=0.561 masked_acc=0.556 rz_masked_acc=0.000 mask_r2=0.784 mask_auc=nan all_r2=0.789 all_auc=nan 0.4 step/s
[step   3000] loss=193.1043 z_loss=3.757 spec_loss=1.731 z_acc=0.056 spec_acc=0.507 masked_acc=0.495 rz_masked_acc=0.000 mask_r2=0.769 mask_auc=nan all_r2=0.773 all_auc=nan 0.4 step/s
[val     3000] loss=231.9634 overall_acc=0.3652 redshift_acc=0.0153 spectrum_acc=0.3665 loss_redshift=4.5011 loss_spectrum=2.4229 loss_total=2.4305 masked_spec_acc=0.3663 redshift_acc_masked=0.0061 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=231.9634 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/best.pt
  [ar_best   3000] ar_redshift_acc=0.030973451327433628 ar_spectrum_acc=0.179519595448799 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=226
[step   3100] loss=205.9321 z_loss=4.005 spec_loss=1.787 z_acc=0.050 spec_acc=0.524 masked_acc=0.529 rz_masked_acc=0.000 mask_r2=0.770 mask_auc=nan all_r2=0.766 all_auc=nan 0.3 step/s
[step   3200] loss=188.9821 z_loss=3.671 spec_loss=1.825 z_acc=0.250 spec_acc=0.487 masked_acc=0.478 rz_masked_acc=0.308 mask_r2=0.757 mask_auc=nan all_r2=0.761 all_auc=nan 0.4 step/s
[step   3300] loss=213.2840 z_loss=4.155 spec_loss=1.500 z_acc=0.000 spec_acc=0.590 masked_acc=0.586 rz_masked_acc=0.000 mask_r2=0.803 mask_auc=nan all_r2=0.803 all_auc=nan 0.4 step/s
[step   3400] loss=195.3101 z_loss=3.799 spec_loss=1.578 z_acc=0.000 spec_acc=0.557 masked_acc=0.557 rz_masked_acc=0.000 mask_r2=0.790 mask_auc=nan all_r2=0.793 all_auc=nan 0.4 step/s
[step   3500] loss=186.3017 z_loss=3.620 spec_loss=1.731 z_acc=0.045 spec_acc=0.541 masked_acc=0.537 rz_masked_acc=0.000 mask_r2=0.775 mask_auc=nan all_r2=0.773 all_auc=nan 0.4 step/s
[val     3500] loss=227.1584 overall_acc=0.3749 redshift_acc=0.0227 spectrum_acc=0.3762 loss_redshift=4.4083 loss_spectrum=2.3702 loss_total=2.3776 masked_spec_acc=0.3741 redshift_acc_masked=0.0150 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=227.1584 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/best.pt
  [ar_best   3500] ar_redshift_acc=0.017699115044247787 ar_spectrum_acc=0.1955654964504522 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=226
[step   3600] loss=160.7126 z_loss=3.127 spec_loss=1.139 z_acc=0.111 spec_acc=0.687 masked_acc=0.688 rz_masked_acc=0.000 mask_r2=0.850 mask_auc=nan all_r2=0.851 all_auc=nan 0.3 step/s
