[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest.jsonl
[data] 373 healpix records
[data] healpix split: 354 train, 19 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 265687 z values, min=-0.0019 max=5.6786
[step   1600] loss=224.0359 z_loss=4.345 spec_loss=2.451 z_acc=0.100 spec_acc=0.332 masked_acc=0.321 rz_masked_acc=0.125 mask_r2=0.678 mask_auc=nan all_r2=0.679 all_auc=nan 0.4 step/s
[step   1700] loss=235.1757 z_loss=4.563 spec_loss=2.537 z_acc=0.074 spec_acc=0.314 masked_acc=0.313 rz_masked_acc=0.077 mask_r2=0.668 mask_auc=nan all_r2=0.667 all_auc=nan 0.5 step/s
[step   1800] loss=215.0984 z_loss=4.171 spec_loss=2.457 z_acc=0.048 spec_acc=0.354 masked_acc=0.344 rz_masked_acc=0.077 mask_r2=0.674 mask_auc=nan all_r2=0.678 all_auc=nan 0.5 step/s
[step   1900] loss=222.2887 z_loss=4.312 spec_loss=2.403 z_acc=0.000 spec_acc=0.336 masked_acc=0.345 rz_masked_acc=0.000 mask_r2=0.687 mask_auc=nan all_r2=0.685 all_auc=nan 0.5 step/s
[step   2000] loss=224.3872 z_loss=4.345 spec_loss=2.718 z_acc=0.050 spec_acc=0.312 masked_acc=0.304 rz_masked_acc=0.000 mask_r2=0.639 mask_auc=nan all_r2=0.644 all_auc=nan 0.5 step/s
[val     2000] loss=230.2040 overall_acc=0.3947 redshift_acc=0.0229 spectrum_acc=0.3960 loss_redshift=4.4706 loss_spectrum=2.2236 loss_total=2.2318 masked_spec_acc=0.3928 redshift_acc_masked=0.0177 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=230.2040 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/best.pt
  [ar_best   2000] ar_redshift_acc=0.00510204081632653 ar_spectrum_acc=0.15607012035583465 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=196
[step   2100] loss=216.2038 z_loss=4.192 spec_loss=2.470 z_acc=0.143 spec_acc=0.358 masked_acc=0.367 rz_masked_acc=0.333 mask_r2=0.679 mask_auc=nan all_r2=0.676 all_auc=nan 0.4 step/s
[step   2200] loss=229.1604 z_loss=4.445 spec_loss=2.459 z_acc=0.048 spec_acc=0.344 masked_acc=0.338 rz_masked_acc=0.077 mask_r2=0.677 mask_auc=nan all_r2=0.678 all_auc=nan 0.4 step/s
[step   2300] loss=230.7928 z_loss=4.481 spec_loss=2.310 z_acc=0.000 spec_acc=0.380 masked_acc=0.382 rz_masked_acc=0.000 mask_r2=0.701 mask_auc=nan all_r2=0.697 all_auc=nan 0.5 step/s
[step   2400] loss=239.7004 z_loss=4.653 spec_loss=2.349 z_acc=0.000 spec_acc=0.357 masked_acc=0.359 rz_masked_acc=0.000 mask_r2=0.693 mask_auc=nan all_r2=0.692 all_auc=nan 0.5 step/s
[step   2500] loss=221.9670 z_loss=4.309 spec_loss=2.205 z_acc=0.000 spec_acc=0.422 masked_acc=0.411 rz_masked_acc=0.000 mask_r2=0.706 mask_auc=nan all_r2=0.711 all_auc=nan 0.5 step/s
