row_id,ra,dec,score,in_neuralens_l18,in_neuralens_shielded,in_huang2020,in_huang2021,in_hsu2025,in_any
566925_1733,199.85045625764215,45.553888846016676,1.0,False,False,False,False,False,False
508777_2305,219.85630378948588,32.55562144595116,1.0,False,False,False,False,False,False
156881_5051,86.74501678601176,-31.68557466586756,1.0,False,False,False,False,False,False
566925_1681,199.8606755789014,45.50042018654672,1.0,False,False,False,False,False,False
508777_2184,219.77524598392912,32.54828004784183,1.0,False,False,False,False,False,False
568696_608,112.00956163119316,46.02833150252167,1.0,False,False,False,False,False,False
140982_5509,12.363310764392029,-34.906375802145206,1.0,False,False,False,False,False,False
93724_4053,335.62112073042067,-45.95658926161827,1.0,False,False,False,False,False,False
93723_3984,335.6122952660538,-45.94208984496491,1.0,False,False,False,False,False,False
460478_507,260.4228168566109,22.906848701458937,1.0,False,False,False,False,False,False
566925_2266,199.8230079260644,45.51523516061888,1.0,False,False,False,False,False,False
572902_3333,193.73800191728176,47.102258882445305,1.0,False,False,False,False,False,False
566925_2177,199.82963847880177,45.50577085596291,1.0,False,False,False,False,False,False
550034_2071,155.85206967533824,41.50402910728528,1.0,False,False,False,False,False,False
566925_2185,199.842525282608,45.50667683830655,1.0,False,False,False,False,False,False
566925_2199,199.8507891765371,45.500838625912095,1.0,False,False,False,False,False,False
566925_2234,199.86944374626455,45.502763794173035,1.0,False,False,False,False,False,False
566925_2241,199.85303025500272,45.5048062390235,1.0,False,False,False,False,False,False
460478_266,260.4151496405448,22.91723481532882,1.0,False,False,False,False,False,False
574012_2039,240.3579343178263,47.23298824057901,1.0,False,False,False,False,False,False
503884_3384,220.3297077635865,31.5838538944349,1.0,False,False,False,False,False,False
93724_5188,335.630119935984,-45.925738972964986,1.0,False,False,False,False,False,False
503884_3660,220.2825834130311,31.58562541438587,1.0,False,False,False,False,False,False
568696_1217,112.1096429186713,46.01577126237934,1.0,False,False,False,False,False,False
622399_1392,166.3619017272213,61.76873748268217,1.0,False,False,False,False,False,False
566925_2271,199.85644264494044,45.49871333145315,1.0,False,False,False,False,False,False
396808_913,146.89176198306643,11.469367582859824,1.0,False,False,False,False,False,False
541407_2547,207.3282161476335,39.53919517202548,1.0,False,False,False,False,False,False
503884_3674,220.28993867028987,31.59253760368404,1.0,False,False,False,False,False,False
566925_2326,199.85297038396885,45.50193178899549,1.0,False,False,False,False,False,False
568696_1260,112.11741409680369,45.984440414319266,1.0,False,False,False,False,False,False
156881_5088,86.74522833500694,-31.702335081268647,1.0,False,False,False,False,False,False
396808_809,146.88868067187482,11.38328760013848,1.0,False,False,False,False,False,False
508777_1567,219.7720672668805,32.55010407386395,1.0,False,False,False,False,False,False
396807_3,146.84459893152948,11.431647203276317,1.0,False,False,False,False,False,False
93723_3778,335.6162188284293,-45.9522509582989,1.0,False,False,False,False,False,False
566925_2145,199.83072358595155,45.521412882807745,1.0,False,False,False,False,False,False
568696_1462,111.98436577533037,45.9642362234964,1.0,False,False,False,False,False,False
93723_3793,335.61550523493304,-45.953122796731,1.0,False,False,False,False,False,False
93723_3845,335.6131969433809,-45.937064556894995,1.0,False,False,False,False,False,False
568696_1431,112.08271026801482,46.027652279966595,1.0,False,False,False,False,False,False
568696_1413,112.08236518904124,46.0322754731825,1.0,False,False,False,False,False,False
568696_1374,112.11187760931287,46.013275219644115,1.0,False,False,False,False,False,False
463163_8341,270.0087804904034,23.598602098826934,1.0,False,False,False,False,False,False
34720_1501,334.24082537229634,-63.81469504476183,1.0,False,False,False,False,False,False
93723_3985,335.61184539160797,-45.94413825970109,1.0,False,False,False,False,False,False
416789_3874,234.16012625198871,15.08390223036133,1.0,False,False,False,False,False,False
649580_15,223.41162345446688,74.13144409311344,1.0,False,False,False,False,False,False
508777_2321,219.86093256721517,32.53141203871124,1.0,False,False,False,False,False,False
396808_563,146.8833629849769,11.469758002338201,1.0,False,False,False,False,False,False
655406_3133,232.28464443424647,78.59907195893496,1.0,False,False,False,False,False,False
508777_2364,219.86024819556368,32.54393345691805,1.0,False,False,False,False,False,False
568696_737,112.11194010841662,46.01488717314864,1.0,False,False,False,False,False,False
508777_2385,219.77417027993474,32.546076673146366,1.0,False,False,False,False,False,False
568696_680,111.9867213720404,45.96187163882398,1.0,False,False,False,False,False,False
566925_1673,199.85134443995227,45.552945929141856,1.0,False,False,False,False,False,False
644812_2576,167.6712773322327,71.58624618408011,1.0,False,False,False,False,False,False
93724_3162,335.61802024183675,-45.9397039883145,1.0,False,False,False,False,False,False
416789_3995,234.16769304442755,15.0865848617917,1.0,False,False,False,False,False,False
503884_3807,220.28004463643566,31.577065289000906,1.0,False,False,False,False,False,False
96763_3682,336.5466593767117,-45.244384117736814,1.0,False,False,False,False,False,False
503884_3685,220.28277148067568,31.586441667500356,1.0,False,False,False,False,False,False
508777_2328,219.86292022515556,32.54116431307061,1.0,False,False,False,False,False,False
566925_1755,199.87003221058717,45.49875386147531,0.9999998807907104,False,False,False,False,False,False
622399_1371,166.36010121738482,61.73645288039494,0.9999998807907104,False,False,False,False,False,False
31583_2658,339.52658032255545,-64.97881173988472,0.9999998807907104,False,False,False,False,False,False
566925_1630,199.84197824616868,45.50281972148158,0.9999998807907104,False,False,False,False,False,False
406665_2247,146.9859632768476,13.284604057548208,0.9999998807907104,False,False,False,False,False,False
566925_2262,199.83276591140157,45.549719522404644,0.9999998807907104,False,False,False,False,False,False
568696_713,112.08164515216379,46.03708012445689,0.9999998807907104,False,False,False,False,False,False
566925_1647,199.82687970227133,45.52350934562472,0.9999998807907104,False,False,False,False,False,False
93724_3178,335.62936967188864,-45.98374562328001,0.9999998807907104,False,False,False,False,False,False
361366_834,195.64763156802874,5.215371378766205,0.9999998807907104,False,False,False,False,False,False
361366_841,195.6319698934212,5.207406397275264,0.9999998807907104,False,False,False,False,False,False
566925_2171,199.836312935996,45.50496758428354,0.9999998807907104,False,False,False,False,False,False
361366_768,195.64147612412853,5.215121931142397,0.9999998807907104,False,False,False,False,False,False
566925_1768,199.84614378684904,45.500844891343505,0.9999998807907104,False,False,False,False,False,False
513327_216,133.1731511288005,33.42127433180832,0.9999998807907104,False,False,False,False,False,False
566925_2242,199.8209161340007,45.51408519683127,0.9999998807907104,False,False,False,False,False,False
551387_1756,247.0847387251577,41.73105109196942,0.9999998807907104,False,False,False,False,False,False
460478_579,260.41986362034066,22.935118635431834,0.9999998807907104,False,False,False,False,False,False
333409_681,40.43842485075725,0.4423684590973537,0.9999998807907104,False,False,False,False,False,False
644812_3012,167.6339687333746,71.58720968877147,0.9999998807907104,False,False,False,False,False,False
490666_2895,3.553150070586988,29.029010978279512,0.9999997615814209,False,False,False,False,False,False
566925_1827,199.8212197532851,45.54051341965302,0.9999997615814209,False,False,False,False,False,False
644380_254,191.8198615068765,71.18664295028265,0.9999997615814209,False,False,False,False,False,False
280131_3461,359.47352689114683,-8.945511548316155,0.9999997615814209,False,False,False,False,False,False
