name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z,score_l18,sep_l18,in_parent_l18,score_shielded,sep_shielded,in_parent_shielded,in_training,score_combined,in_parent_combined
DESI-026.2765+10.3100,26.2765,10.31,A,3.5,l18,DECaLS,0.28,REX,,0.462+/-0.138,0.6079006195068359,0.8896234408160895,True,0.8829489946365356,0.8896234408160895,True,True,0.8829489946365356,True
DESI-027.2716-16.9818,27.2716,-16.9818,A,3.5,l18,DECaLS,0.92,DC,0.6916,,0.998925507068634,0.18172476099415075,True,0.9985437393188477,0.18172476099415075,True,True,0.998925507068634,True
DESI-027.4831-28.5753,27.4831,-28.5753,A,3.5,l18,DECaLS,0.97,DC,,0.557+/-0.008,0.9819596409797668,0.17821369453916125,True,0.9708414673805237,0.17821369453916125,True,True,0.9819596409797668,True
DESI-027.9088-04.1209,27.9088,-4.1209,A,3.5,l18,DECaLS,0.81,DC,0.6412,,0.9959315657615662,0.14723740441101468,True,0.9896532893180847,0.14723740441101468,True,True,0.9959315657615662,True
DESI-027.9613-10.0977,27.9613,-10.0977,A,4.0,l18,DECaLS,1.0,DC,0.5234,,0.9989802241325378,0.1650998078471359,True,0.9955958724021912,0.1650998078471359,True,True,0.9989802241325378,True
DESI-029.4044-12.3606,29.4044,-12.3606,A,4.0,shielded,DECaLS,0.96,REX,,0.747+/-0.169,0.00031296504312194884,43.59133911466853,False,0.0008351340075023472,43.59133911466853,False,False,0.0008351340075023472,False
DESI-030.4025+03.7476,30.4025,3.7476,A,4.0,l18,DECaLS,0.64,DC,0.1696,,0.423117458820343,0.29136485560061065,True,0.9621499180793762,0.29136485560061065,True,True,0.9621499180793762,True
DESI-031.3208-01.3890,31.3208,-1.389,A,3.5,shielded,DECaLS,1.0,REX,0.6992,,0.0013637578813359141,60.38502120425119,False,0.003802434541285038,60.38502120425119,False,False,0.003802434541285038,False
DESI-031.6711-17.9929,31.6711,-17.9929,A,3.5,shielded,DECaLS,0.1,REX,0.1548,,0.7737061977386475,0.4388226782917975,True,0.889823317527771,0.4388226782917975,True,False,0.889823317527771,True
DESI-031.7778-27.4457,31.7778,-27.4457,A,4.0,shielded,DECaLS,1.0,DC,,0.294+/-0.018,0.9999983310699463,0.04742176639704077,True,0.9999958276748657,0.04742176639704077,True,False,0.9999983310699463,True
DESI-032.4042-25.3555,32.4042,-25.3555,A,3.5,l18,DECaLS,0.49,DC,,0.224+/-0.015,0.9942421317100525,0.0933269396401951,True,0.9945428371429443,0.0933269396401951,True,True,0.9945428371429443,True
