name,ra,dec,grade,p_lens,status,counterpart,survey,sep_arcsec,source
s_262449_2840,188.786090,-11.979776,B,0.5,new,,,,
s_107312_5223,23.845102,-42.539805,B,0.5,known,[DBL2017] DES J0135-4232 (A),DES,0.18,SIMBAD
s_90920_9419,45.951719,-46.440729,B,0.5,known,[DBL2017] DES J0303-4626 (A),DES,0.15,SIMBAD
s_217461_3974,12.045050,-19.920560,B,0.5,new,,,,
s_260341_325,9.979777,-12.209697,B,0.5,new,,,,
s_207576_2272,248.119507,-22.035473,B,0.48,new,,,,
s_162970_1777,62.555427,-30.623833,B,0.48,known,DES J041013.30-303725.8,DES,0.09,SIMBAD
s_234043_6467,58.442682,-17.110912,B,0.47,known,AGEL J035346-170639 lens,AGEL,0.04,SIMBAD
s_283917_2408,235.620007,-8.348999,B,0.45,new,,,,
s_50907_11900,303.580791,-57.950448,B,0.45,known,DES J201419.38-575701.4,DES,0.15,SIMBAD
s_61411_4481,332.986604,-54.644473,B,0.45,known,DES J221156.77-543839.9,DES,0.22,SIMBAD
s_165468_9648,64.777130,-29.993698,B,0.45,known,DES J041906.50-295937.7,DES,0.49,SIMBAD
s_148704_6732,183.817650,-33.600561,B,0.45,new,,,,
s_280264_9147,33.105099,-8.869699,B,0.45,known,[MVM2016] SW45,literature (SIMBAD),0.12,SIMBAD
s_266046_1185,25.998950,-11.276997,B,0.45,new,,,,
s_251013_4202,137.423005,-13.960058,B,0.45,new,,,,
s_52008_8091,96.596339,-57.508348,B,0.45,known,DES J062623.11-573030.1,DES,0.09,SIMBAD
s_209853_1103,139.805343,-21.460422,B,0.45,new,,,,
s_504880_4027,152.076298,31.700467,B,0.45,known,DESI-152.0763+31.7005,Huang+2020,0.12,lineage
s_181762_9592,11.434716,-26.629413,B,0.45,new,,,,
s_69087_268,307.232467,-52.521802,B,0.43,known,DES J202855.79-523118.3,DES,0.12,SIMBAD
s_256199_9097,29.681926,-13.025848,B,0.42,known,DES J015843.66-130132.8,DES,0.18,SIMBAD
s_36700_530,347.990448,-63.117568,B,0.42,known,DES J2311-6307:[OWD2022] 1,literature (SIMBAD),2.80,NED
s_23764_4161,132.660298,-68.187559,B,0.42,new,,,,
s_29019_24056,248.942971,-66.074675,B,0.42,new,,,,
s_204169_8722,49.161829,-22.609269,B,0.42,known,DES J031638.82-223633.3,DES,0.15,SIMBAD
s_112158_2867,209.674124,-41.493214,B,0.42,new,,,,
s_139825_11098,18.922589,-35.338619,B,0.42,known,DES J0115-3520:[OWD2022] 1,literature (SIMBAD),4.88,NED
s_60524_3113,309.797329,-54.995227,B,0.42,known,[DBL2017] DES J2039-5459 (A),DES,0.16,SIMBAD
s_38835_314,56.654300,-61.979232,B,0.42,known,[DBL2017] DES J0346-6158 (A),DES,0.23,SIMBAD
s_405220_1292,136.465477,13.030706,B,0.42,new,,,,
s_68464_11443,52.737257,-52.470263,B,0.42,known,[DBL2017] DES J0330-5228,DES,0.11,SIMBAD
s_206743_10995,24.211967,-22.007618,B,0.42,known,DES J013650.85-220027.2,DES,0.23,SIMBAD
s_41562_4180,42.240159,-60.900970,B,0.4,known,DES J024857.61-605403.4,DES,0.19,SIMBAD
s_188312_3322,33.253686,-25.394532,B,0.4,new,,,,
s_120781_3317,156.852474,-39.609292,B,0.4,new,,,,
s_266620_918,172.131971,-11.310844,B,0.4,new,,,,
s_410935_2097,164.120439,14.060583,B,0.38,new,,,,
s_32666_26056,248.608986,-64.556941,B,0.38,new,,,,
s_244220_4253,184.304185,-15.261008,B,0.38,new,,,,
s_119499_8020,101.809328,-39.835937,B,0.38,new,,,,
s_156771_3446,54.321930,-31.870439,B,0.38,known,AGEL J033717-315214 system,AGEL,0.99,SIMBAD
s_205319_6061,359.977188,-22.459564,B,0.38,new,,,,
s_416616_6090,189.537017,15.030894,B,0.38,known,DESI-189.5370+15.0309,Huang+2020,0.06,lineage
s_364281_4525,207.313334,5.630785,B,0.35,new,,,,
s_250611_2161,33.789782,-14.118543,B,0.35,new,,,,
s_212207_5081,50.659714,-20.956734,B,0.35,new,,,,
s_128091_3374,332.635508,-37.926264,B,0.35,new,,,,
s_194944_4494,59.204453,-24.144721,B,0.35,known,DES J035649.05-240841.1,DES,0.28,SIMBAD
s_94861_9433,21.971641,-45.542762,B,0.32,known,DES J012753.17-453233.8,DES,0.17,SIMBAD
s_235253_4230,14.445245,-16.745722,B,0.32,known,DESI-014.4452-16.7457,Huang+2020,0.17,lineage
s_394431_6727,261.763677,11.002099,B,0.3,known,AGEL J172703+110008 system,AGEL,0.61,SIMBAD
s_369977_4434,198.517350,6.688697,B,0.28,new,,,,
