row_id,RA,DEC,v3blend8,sugohi_name,sugohi_sep,sugohi_thetaE,sugohi_zl,in_top500,in_top300
s_349955_1294,217.09360019979428,3.3000037060122143,0.8973374,142822+031759,0.042640816950328723,-99.0,-99.0,True,True
s_336801_4965,168.48644183359443,1.06795290453364,0.8963222,111356+010404,0.04266791447458973,1.94,-99.0,True,True
s_339807_4420,199.94120311623712,1.531084251611958,0.8864131,131945+013151,0.024971861470745357,2.28,-99.0,True,True
s_318982_1451,33.53337824715371,-2.107920604150776,0.883948,021408-020628,0.2911076923294875,-99.0,-99.0,True,True
s_328092_4866,151.2154419180792,-0.529105927921599,0.8829502,HSCJ1004-0031,1.1992716623996424,1.33,0.569,True,True
s_352724_6348,190.49159155681585,3.7893930193130085,0.878394,124158+034722,0.03938768234442816,-99.0,-99.0,True,True
s_331753_3591,346.3402918810244,-0.03658520514004596,0.86123824,230521-000211,0.08691774268636032,1.73,0.492,True,True
s_351084_1943,139.76915912040403,3.6107267802537355,0.85890365,091904+033638,0.06110341074595456,2.08,-99.0,True,True
s_341950_6798,15.659705773375999,1.9824477862302512,0.84572333,HSCJ0102+0158,1.1704041283307318,1.52,0.869,True,True
s_329032_842,26.016759966471852,-0.12956915176671002,0.8340679,014404-000746,0.058089404602844605,1.9,-99.0,True,True
s_336034_1750,336.5380314908672,0.69486864744162,0.82380146,222609+004141,2.6811870643875113,2.02,0.647,True,True
s_336034_1788,336.5387782042387,0.6949976267426516,0.81859833,222609+004141,0.047550752141361646,2.02,0.647,True,True
s_310364_6388,38.207761556060305,-3.390575249827998,0.8168813,023249-032326,0.3497457306426767,3.64,-99.0,True,True
s_325489_4248,220.38751557320478,-0.900380365430375,0.81641406,HSCJ1441-0054,0.006081685167762319,2.26,-99.0,True,True
s_327403_2882,338.8263057370136,-0.7964456011258548,0.8154928,223518-004747,0.1039503904714957,1.68,-99.0,True,True
s_319374_3573,131.63620878453955,-1.9046534076108135,0.8085796,084632-015416,1.4803445696307456,1.24,0.898,True,False
s_332669_704,215.26539066605335,0.3719514433288317,0.80320036,142103+002219,0.37527134452482086,2.05,-99.0,True,False
s_332668_5796,215.2018921382049,0.12592552654671402,0.7963619,142048+000733,0.4527809956720849,-99.0,0.545,True,False
s_346996_4322,197.20031359402847,2.767472851564839,0.79153997,130848+024602,0.10603327961943922,-99.0,0.556,True,False
s_341767_1337,329.78827660985064,1.6542986028691813,0.7869433,215909+013915,0.3648128695198455,2.3,-99.0,True,False
s_323786_3896,154.69719023427663,-1.359039043652778,0.7867421,101847-012132,0.5966752378816091,-99.0,0.388,True,False
s_318107_3894,174.87269018182943,-2.3072175337540792,0.78262585,113929-021826,0.33047557626331464,-99.0,-99.0,True,False
s_300291_2747,34.40481481667397,-5.224850119274835,0.7792903,021737-051329,0.3982994322083029,1.23,-99.0,True,False
s_325507_6484,224.9881063516617,-0.922982815636417,0.7712638,145957-005522,0.38778272498868754,-99.0,0.577,True,False
s_321853_2948,31.320851021012363,-1.3890505775236819,0.7519108,020517-012320,0.14961065847402658,1.24,-99.0,True,False
s_298853_6246,33.533551199664124,-5.591924509689768,0.7507972,021408-053532,1.4870621029373687,-99.0,-99.0,True,False
s_328891_7514,350.94196107688146,-0.5105402266144748,0.7454466,232346-003037,0.26327471713912615,1.26,0.847,True,False
s_320807_4859,129.88907965396768,-1.6790708336278781,0.7281369,083933-014044,0.3836443217511717,1.36,0.27,False,False
s_319431_2792,145.86522688552907,-1.914806488466141,0.7133952,094327-015453,0.4571300188016818,-99.0,-99.0,False,False
s_326166_4739,29.60328492390939,-0.6665264625063559,0.70601696,015824-004001,1.780732194125005,1.74,-99.0,False,False
s_317549_7320,35.41724809695488,-2.1722311868889634,0.7001713,022140-021020,0.17110624870335978,1.25,-99.0,False,False
s_323986_4801,204.6865887044855,-1.151421582288532,0.69576514,133844-010907,2.302175260324222,1.81,-99.0,False,False
s_320991_1138,175.7969666640037,-1.6598293898177248,0.68956697,114311-013935,0.12026734786713425,1.21,0.644,False,False
s_342792_1026,226.03731123771743,1.962410594033717,0.67461455,150408+015744,0.19067892384339924,-99.0,0.525,False,False
s_343847_3080,129.87665492767238,2.1735062749187244,0.6740354,083930+021024,0.19888441682225638,1.68,-99.0,False,False
s_334701_2111,3.2901814164974885,0.6676438171997864,0.671989,001309+004003,0.22433382905968016,1.1,0.693,False,False
s_332450_2235,160.59733840165933,0.25587792102085727,0.6650618,104223+001521,0.1057934509194233,1.35,-99.0,False,False
s_346814_5071,151.74699989800683,2.7931370185694586,0.66365844,100659+024735,0.07264557285778367,1.24,-99.0,False,False
s_327453_9182,351.48909387762285,-0.8741367546367116,0.6581488,232557-005226,0.06191061323156129,1.72,-99.0,False,False
s_329635_4887,176.93816147305657,-0.2304783737750535,0.65434045,114745-001349,0.35858103866612273,-99.0,0.829,False,False
s_341228_437,195.02018234413814,1.7473062409905653,0.6335268,130004+014450,0.03554855374170662,1.57,-99.0,False,False
s_339566_5008,139.70290777677542,1.4580855181132686,0.6251964,091848+012729,1.2394545841539082,1.77,-99.0,False,False
s_310329_4132,29.381235247806746,-3.5160215169959868,0.6159523,015731-033057,0.10585384238901245,1.11,-99.0,False,False
s_326007_6073,349.8902091149837,-1.1027659491601145,0.6054394,231933-010609,0.11949310593730292,1.56,-99.0,False,False
s_326165_8411,29.45990505378122,-0.6384933683195569,0.5997258,015750-003818,0.12152923251827596,-99.0,-99.0,False,False
s_297443_7071,39.57403742136002,-5.765425517115328,0.5988454,023817-054555,0.04971197413834256,0.92,-99.0,False,False
s_325976_174,342.00300172444975,-1.0499024878927483,0.5945905,224800-010259,0.07871611746700605,1.55,-99.0,False,False
s_326748_4230,175.17521576822662,-0.7266396266121018,0.5945377,114042-004335,0.21480608686161226,-99.0,-99.0,False,False
s_332512_4385,176.18674065441607,0.22968298514179275,0.58953094,114444+001347,0.1586558999052237,1.75,-99.0,False,False
s_332622_7055,203.74777048608274,0.2714770704922044,0.58287394,133459+001617,0.0875722426430625,1.14,0.484,False,False
s_326932_3838,221.11974825485783,-0.8618081728472249,0.5789564,144428-005142,0.07698518850031645,-99.0,0.575,False,False
s_352504_5338,135.4342800439156,3.722019005926879,0.56798327,HSCJ0901+0343,0.36381532705859837,1.05,-99.0,False,False
s_298872_8489,38.354712419584914,-5.517872896355589,0.5611773,023325-053104,0.22799149604557678,-99.0,-99.0,False,False
s_325489_4207,220.3861442915704,-0.8995274428585915,0.5592715,144132-005359,2.40832880826632,-99.0,-99.0,False,False
s_339022_9225,3.7406649585659904,1.6169902534678682,0.5554077,HSCJ0015+0137,0.06388768966644091,1.32,0.379,False,False
s_325232_364,156.01586867047686,-0.8789358539216376,0.5499523,102403-005242,1.3854429383204945,1.64,-99.0,False,False
s_329545_3262,154.39186727107776,-0.207576401737353,0.52859664,101734-001227,0.27997857591803765,-99.0,-99.0,False,False
s_336099_5653,352.8769887122429,0.6259673384453578,0.5257866,233130+003733,0.18220696628049676,1.48,-99.0,False,False
s_325133_2662,131.33397468050634,-0.9156587820228516,0.5231441,084520-005456,0.3421151812851478,-99.0,-99.0,False,False
s_329519_4582,147.91706634043484,-0.23895003060064215,0.5025555,095140-001420,0.2991259424406776,-99.0,-99.0,False,False
s_329545_3257,154.39171128145495,-0.20870247124842092,0.49623984,101734-001227,4.1310863260966695,-99.0,-99.0,False,False
s_338130_3874,140.65493222718558,1.3069485158670273,0.48185164,HSCJ0922+0118,0.1498494120734481,0.94,-99.0,False,False
s_338308_1527,185.0789581069809,1.2149568976947962,0.4745727,122018+011253,0.05329492725274345,1.01,0.488,False,False
s_329542_3760,153.650888435553,-0.16408000432953726,0.46455166,HSCJ1014-0009,1.7305516695408287,0.87,-99.0,False,False
s_328244_3235,189.1505665108828,-0.5941833401160831,0.45558074,123636-003539,0.020416308853153962,0.9,0.51,False,False
s_326599_5984,137.96488867450626,-0.7352682554165019,0.4380212,091151-004406,0.6790428331306704,-99.0,-99.0,False,False
s_332630_6481,205.71832106967284,0.2877649220361717,0.4294677,HSCJ1342+0017,0.4482590235792932,1.25,-99.0,False,False
s_322611_2377,220.8359909700565,-1.4270247415542068,0.42016044,144320-012537,1.1514749120289733,1.12,0.889,False,False
s_334702_3907,3.6012014681632385,0.6960828189276037,0.40781534,001424+004145,0.649226221235689,1.88,0.57,False,False
s_354291_2832,222.66891905109026,3.967961970594727,0.35524815,145040+035804,0.04890310635196888,-99.0,-99.0,False,False
s_332667_962,214.78519198766878,0.3471729068624243,0.35006946,141908+002049,0.4225490885507305,-99.0,-99.0,False,False
s_321121_6111,208.4729687622414,-1.6990969589706602,0.34474146,HSCJ1353-0141,1.2458342619393499,-99.0,0.537,False,False
