unit_id,candidate_id,alias_ids,system_id,ra_deg,dec_deg,stratum,substratum,pipe_grade_passcount,pipe_inspector_conf,pipe_score,center_galaxy_type,rank_top100,prior_exposure,lit_known,layout,cowls_ranking,cowls_theta_E,known_lens_name,known_type,known_sep_arcsec,desi_pool_overlap,desi_pool_split,sw_obs,lw_obs,sw_filter,lw_filter,proposal,field_id
u0048,J15071855+269043,,48,150.7185503423053,2.690427351578382,N_unflagged,proposal_6480,,,,elliptical,,0,False,gray_sw_only,,,,,,False,,jw06480-o002_t002_nircam_clear-f070w,,F070W,,6480,598
u0049,J3996375-158105,,49,39.96375070992939,-1.581051248423649,N_unflagged,proposal_5890,,,,elliptical,,0,False,color,,,,,,False,,jw05890-o001_t001_nircam_clear-f150w,jw01208-o002_t001_nircam_clear-f277w,F150W,F277W,5890,68
u0050,J34708269-218827,,50,347.0826897520284,-2.18826713866514,L_known,pipe_U,U,20.0,1.2124117448529002,merger,,0,True,color,,,[CSA2018] Abell 2537 32.1,SIMBAD:LeI,1.88,True,valsel,jw06882-o045_t049_nircam_clear-f150w,jw06882-o045_t049_nircam_clear-f277w,F150W,F277W,6882,210
u0051,J15069997+222588,,51,150.6999706363182,2.225875973235753,T_U,,U,26.0,1.2594268230647194,star,47,1,False,color,,,,,,False,,jw01635-o054_t037_nircam_clear-f150w,jw01635-o054_t037_nircam_clear-f444w,F150W,F444W,1635,664
u0052,J2238085-7354339,,52,22.38084741342686,-73.54338976005498,U_tail,rank_301_2024,U,15.0,1.1310174026725768,compact,,0,False,color,,,,,,False,,jw02662-o001_t001_nircam_clear-f150w,jw02662-o001_t001_nircam_clear-f277w,F150W,F277W,2662,687
u0053,J15194704+2123478,,53,151.947041888301,21.23478461642417,D_refuted,merger,D,32.0,0.2999044462338613,merger,,0,False,color,,,,,,False,,jw02073-o003_t001_nircam_clear-f115w,jw02073-o003_t001_nircam_clear-f277w,F115W,F277W,2073,530
u0054,J33389992-3276033,,54,333.8999158280097,-32.7603303768569,T_U,,U,25.0,1.2505564599247223,elliptical,96,1,False,color,,,,,,False,,jw05594-o103_t105_nircam_clear-f150w2,jw05594-o103_t105_nircam_clear-f322w2,F150W2,F322W2,5594,245
u0055,J3807110-4434755,,55,38.07110133868793,-44.34755157210706,T_U,,U,28.0,1.2687293539447528,ambiguous,35,1,False,color,,,,,,False,,jw06882-o010_t010_nircam_clear-f150w,jw06882-o010_t010_nircam_clear-f277w,F150W,F277W,6882,177
u0056,J30795372-4063256,,56,307.9537178938298,-40.63255501232588,D_refuted,merger,D,30.0,0.2858313659145994,merger,,0,False,color,,,,,,False,,jw06882-o039_t042_nircam_clear-f150w,jw06882-o039_t042_nircam_clear-f277w,F150W,F277W,6882,99
u0057,J11068178-7349847,,57,110.6817754664031,-73.49847129196436,U_tail,rank_101_300,U,24.0,1.2444571771136084,elliptical,,0,False,color,,,,,,False,,jw02736-o001_t001_nircam_clear-f150w,jw02736-o001_t001_nircam_clear-f277w,F150W,F277W,2736,153
