[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest.jsonl
[data] 154 healpix records
[data] healpix split: 146 train, 8 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 131820 z values, min=-0.0019 max=4.8293
[step   1800] loss=244.5138 z_loss=4.748 spec_loss=2.430 z_acc=0.000 spec_acc=0.389 masked_acc=0.392 rz_masked_acc=0.000 mask_r2=0.682 mask_auc=nan all_r2=0.681 all_auc=nan 2.2 step/s
[step   1900] loss=294.0906 z_loss=5.733 spec_loss=2.609 z_acc=0.000 spec_acc=0.324 masked_acc=0.321 rz_masked_acc=nan mask_r2=0.662 mask_auc=nan all_r2=0.658 all_auc=nan 2.2 step/s
[step   2000] loss=249.9919 z_loss=4.853 spec_loss=2.598 z_acc=0.000 spec_acc=0.322 masked_acc=0.337 rz_masked_acc=0.000 mask_r2=0.668 mask_auc=nan all_r2=0.659 all_auc=nan 2.3 step/s
[val     2000] loss=250.6769 overall_acc=0.3586 redshift_acc=0.0062 spectrum_acc=0.3599 loss_redshift=4.8675 loss_spectrum=2.5042 loss_total=2.5128 masked_spec_acc=0.3620 redshift_acc_masked=0.0068 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
[step   2100] loss=233.2572 z_loss=4.522 spec_loss=2.605 z_acc=0.000 spec_acc=0.388 masked_acc=0.385 rz_masked_acc=0.000 mask_r2=0.659 mask_auc=nan all_r2=0.658 all_auc=nan 2.2 step/s
[step   2200] loss=242.8917 z_loss=4.708 spec_loss=2.913 z_acc=0.000 spec_acc=0.267 masked_acc=0.260 rz_masked_acc=0.000 mask_r2=0.619 mask_auc=nan all_r2=0.618 all_auc=nan 2.3 step/s
[step   2300] loss=246.5809 z_loss=4.783 spec_loss=2.750 z_acc=0.000 spec_acc=0.300 masked_acc=0.306 rz_masked_acc=0.000 mask_r2=0.645 mask_auc=nan all_r2=0.640 all_auc=nan 2.3 step/s
[step   2400] loss=248.9994 z_loss=4.834 spec_loss=2.544 z_acc=0.000 spec_acc=0.334 masked_acc=0.348 rz_masked_acc=0.000 mask_r2=0.672 mask_auc=nan all_r2=0.667 all_auc=nan 2.3 step/s
[step   2500] loss=235.3711 z_loss=4.570 spec_loss=2.419 z_acc=0.000 spec_acc=0.337 masked_acc=0.342 rz_masked_acc=0.000 mask_r2=0.688 mask_auc=nan all_r2=0.683 all_auc=nan 2.3 step/s
[val     2500] loss=249.2367 overall_acc=0.3628 redshift_acc=0.0073 spectrum_acc=0.3641 loss_redshift=4.8410 loss_spectrum=2.4419 loss_total=2.4506 masked_spec_acc=0.3688 redshift_acc_masked=0.0147 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  ckpt -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_large/step_00002500.pt
[step   2600] loss=214.6982 z_loss=4.153 spec_loss=2.875 z_acc=0.250 spec_acc=0.218 masked_acc=0.214 rz_masked_acc=0.000 mask_r2=0.627 mask_auc=nan all_r2=0.623 all_auc=nan 2.3 step/s
[step   2700] loss=250.7541 z_loss=4.868 spec_loss=2.517 z_acc=0.000 spec_acc=0.296 masked_acc=0.278 rz_masked_acc=0.000 mask_r2=0.667 mask_auc=nan all_r2=0.670 all_auc=nan 2.3 step/s
[step   2800] loss=259.1668 z_loss=5.033 spec_loss=2.850 z_acc=0.000 spec_acc=0.234 masked_acc=0.215 rz_masked_acc=0.000 mask_r2=0.633 mask_auc=nan all_r2=0.626 all_auc=nan 2.3 step/s
[step   2900] loss=242.2013 z_loss=4.701 spec_loss=2.482 z_acc=0.000 spec_acc=0.356 masked_acc=0.373 rz_masked_acc=0.000 mask_r2=0.674 mask_auc=nan all_r2=0.675 all_auc=nan 2.4 step/s
