row_index,Name,RA,DEC,tractor_type,Score,Probability,resnet_model,Region,Spec,photo_z,g_mag,r_mag,z_mag,row_id,status_fits,bytes_fits,attempts_fits
26,DESI-024.7783+22.1231,24.7783,22.1231,DC,3.5,0.13,L18,DECaLS,0.4684,,21.06,19.09,17.93,DESI-024.7783+22.1231,skip,126720,0
27,DESI-025.9952+12.9370,25.9952,12.937,DC,3.5,0.92,L18,DECaLS,0.5114,,20.75,18.86,17.8,DESI-025.9952+12.9370,skip,126720,0
28,DESI-026.2765+10.3100,26.2765,10.31,REX,3.5,0.28,L18,DECaLS,,0.462+/-0.138,21.56,20.16,19.51,DESI-026.2765+10.3100,skip,126720,0
29,DESI-027.2716-16.9818,27.2716,-16.9818,DC,3.5,0.92,L18,DECaLS,0.6916,,20.91,19.07,17.65,DESI-027.2716-16.9818,skip,126720,0
30,DESI-027.4831-28.5753,27.4831,-28.5753,DC,3.5,0.97,L18,DECaLS,,0.557+/-0.008,21.32,19.43,18.14,DESI-027.4831-28.5753,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=27.483100&dec=-28.575300&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
31,DESI-027.9088-04.1209,27.9088,-4.1209,DC,3.5,0.81,L18,DECaLS,0.6412,,21.89,20.11,18.58,DESI-027.9088-04.1209,skip,126720,0
32,DESI-027.9613-10.0977,27.9613,-10.0977,DC,4.0,1.0,L18,DECaLS,0.5234,,22.05,20.36,18.87,DESI-027.9613-10.0977,skip,126720,0
34,DESI-030.4025+03.7476,30.4025,3.7476,DC,4.0,0.64,L18,DECaLS,0.1696,,19.16,17.93,17.16,DESI-030.4025+03.7476,skip,126720,0
38,DESI-032.4042-25.3555,32.4042,-25.3555,DC,3.5,0.49,L18,DECaLS,,0.224+/-0.015,18.15,16.87,16.13,DESI-032.4042-25.3555,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=32.404200&dec=-25.355500&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
42,DESI-035.7946-22.8049,35.7946,-22.8049,DC,3.5,1.0,L18,DECaLS,,0.890+/-0.048,22.44,21.1,19.33,DESI-035.7946-22.8049,fail: HTTP 429,0,5
43,DESI-036.2340+08.8300,36.234,8.83,DC,4.0,1.0,L18,DECaLS,,0.326+/-0.035,18.15,16.5,15.61,DESI-036.2340+08.8300,skip,126720,0
45,DESI-037.0621-29.3949,37.0621,-29.3949,DC,3.5,0.93,L18,DECaLS,,0.312+/-0.013,19.74,18.11,17.25,DESI-037.0621-29.3949,fail: HTTP 429,0,5
46,DESI-037.4837-31.1730,37.4837,-31.173,DC,3.5,0.99,L18,DECaLS,,0.466+/-0.075,22.06,20.28,19.17,DESI-037.4837-31.1730,fail: HTTP 429,0,5
47,DESI-038.0264-35.4899,38.0264,-35.4899,REX,3.5,1.0,L18,DECaLS,,0.550+/-0.097,21.31,20.0,18.9,DESI-038.0264-35.4899,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=38.026400&dec=-35.489900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
49,DESI-040.2205-05.8472,40.2205,-5.8472,DC,3.5,0.97,L18,DECaLS,0.5238,,21.68,19.81,18.52,DESI-040.2205-05.8472,skip,126720,0
51,DESI-040.7627-00.1001,40.7627,-0.1001,DC,3.5,1.0,L18,DECaLS,0.4127,,19.95,18.14,17.19,DESI-040.7627-00.1001,skip,126720,0
