row_index,Name,RA,DEC,tractor_type,Score,Probability,resnet_model,Region,Spec,photo_z,g_mag,r_mag,z_mag,row_id,status_fits,bytes_fits,attempts_fits
326,DESI-129.6057+30.2873,129.6057,30.2873,DC,3.0,0.95,L18,DECaLS,,0.283+/-0.020,18.27,16.75,15.85,DESI-129.6057+30.2873,skip,126720,0
327,DESI-130.7280-02.0271,130.728,-2.0271,DC,3.0,0.38,L18,DECaLS,,0.422+/-0.027,20.52,18.75,17.82,DESI-130.7280-02.0271,skip,126720,0
328,DESI-131.3340-00.9157,131.334,-0.9157,DC,3.0,0.88,L18,DECaLS,,0.393+/-0.013,19.7,17.79,16.84,DESI-131.3340-00.9157,skip,126720,0
330,DESI-133.3800+23.3652,133.38,23.3652,DC,3.0,0.94,L18,DECaLS,,0.284+/-0.042,18.9,17.64,16.86,DESI-133.3800+23.3652,skip,126720,0
332,DESI-136.4227+34.8998,136.4227,34.8998,DC,3.0,0.17,L18,MzLS,0.5114,,21.23,19.32,18.09,DESI-136.4227+34.8998,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=136.422700&dec=34.899800&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
333,DESI-136.9765+00.9590,136.9765,0.959,DC,3.0,0.39,L18,DECaLS,,0.697+/-0.023,22.84,20.61,18.97,DESI-136.9765+00.9590,ok,126720,1
335,DESI-138.0524+33.3767,138.0524,33.3767,DC,3.0,0.97,L18,MzLS,,0.807+/-0.041,22.91,20.98,19.05,DESI-138.0524+33.3767,skip,126720,0
336,DESI-139.8960+30.5323,139.896,30.5323,DC,3.0,0.13,L18,DECaLS,0.6412,,19.92,18.07,17.11,DESI-139.8960+30.5323,skip,126720,0
337,DESI-147.7529+08.4157,147.7529,8.4157,DC,3.0,1.0,L18,DECaLS,0.6992,,19.94,18.2,17.28,DESI-147.7529+08.4157,skip,126720,0
338,DESI-151.9618+04.6107,151.9618,4.6107,DC,3.0,0.33,L18,DECaLS,0.1548,,20.36,18.64,17.74,DESI-151.9618+04.6107,skip,126720,0
340,DESI-157.4831-05.4213,157.4831,-5.4213,DC,3.0,1.0,L18,DECaLS,,0.772+/-0.102,21.99,20.72,19.15,DESI-157.4831-05.4213,skip,126720,0
341,DESI-158.2306+75.3149,158.2306,75.3149,DC,3.0,0.82,L18,MzLS,,0.629+/-0.059,20.52,19.43,18.28,DESI-158.2306+75.3149,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=158.230600&dec=75.314900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
342,DESI-159.3007+04.5911,159.3007,4.5911,DC,3.0,1.0,L18,DECaLS,,0.580+/-0.150,21.77,20.47,19.15,DESI-159.3007+04.5911,skip,126720,0
343,DESI-159.7672-08.9316,159.7672,-8.9316,DC,3.0,0.89,L18,DECaLS,,0.397+/-0.031,20.1,18.48,17.62,DESI-159.7672-08.9316,skip,126720,0
344,DESI-161.8206+27.9906,161.8206,27.9906,DC,3.0,1.0,L18,DECaLS,,0.427+/-0.030,19.39,17.72,16.72,DESI-161.8206+27.9906,skip,126720,0
345,DESI-162.2464+10.5049,162.2464,10.5049,DC,3.0,0.45,L18,DECaLS,0.5238,,20.88,19.07,17.95,DESI-162.2464+10.5049,skip,126720,0
346,DESI-162.6485+19.9352,162.6485,19.9352,DC,3.0,0.97,L18,DECaLS,0.4127,,22.94,20.91,19.36,DESI-162.6485+19.9352,skip,126720,0
347,DESI-166.1262-08.6326,166.1262,-8.6326,DC,3.0,0.23,L18,DECaLS,,0.292+/-0.054,19.76,18.54,17.7,DESI-166.1262-08.6326,skip,126720,0
348,DESI-174.0622+41.0525,174.0622,41.0525,DC,3.0,0.29,L18,MzLS,,0.517+/-0.029,20.74,18.95,17.72,DESI-174.0622+41.0525,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=174.062200&dec=41.052500&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
350,DESI-176.2391+30.5580,176.2391,30.558,DC,3.0,1.0,L18,DECaLS,,0.795+/-0.066,21.79,20.63,19.16,DESI-176.2391+30.5580,skip,126720,0
351,DESI-179.5944+72.4798,179.5944,72.4798,DC,3.0,0.98,L18,MzLS,,0.797+/-0.051,22.64,21.06,19.22,DESI-179.5944+72.4798,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=179.594400&dec=72.479800&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
352,DESI-179.8536-05.1806,179.8536,-5.1806,DC,3.0,0.97,L18,DECaLS,,0.417+/-0.024,20.12,18.34,17.38,DESI-179.8536-05.1806,skip,126720,0
353,DESI-180.7746+69.8060,180.7746,69.806,DC,3.0,0.98,L18,MzLS,,0.416+/-0.024,20.17,18.41,17.42,DESI-180.7746+69.8060,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=180.774600&dec=69.806000&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
357,DESI-184.9250+00.8409,184.925,0.8409,DC,3.0,0.34,L18,DECaLS,,0.309+/-0.025,18.52,16.97,16.09,DESI-184.9250+00.8409,skip,126720,0
358,DESI-185.0208+26.4909,185.0208,26.4909,DC,3.0,0.98,L18,DECaLS,,0.710+/-0.019,22.63,20.54,18.88,DESI-185.0208+26.4909,skip,126720,0
363,DESI-191.3160+19.0924,191.316,19.0924,DC,3.0,0.12,L18,DECaLS,,0.447+/-0.015,20.58,18.72,17.71,DESI-191.3160+19.0924,skip,126720,0
365,DESI-200.0505-08.5058,200.0505,-8.5058,DC,3.0,0.98,L18,DECaLS,,0.611+/-0.036,21.21,19.72,18.45,DESI-200.0505-08.5058,skip,126720,0
366,DESI-200.8958+06.1545,200.8958,6.1545,DC,3.0,0.31,L18,DECaLS,,0.324+/-0.010,19.29,17.63,16.76,DESI-200.8958+06.1545,skip,126720,0
367,DESI-202.9388+51.5753,202.9388,51.5753,DC,3.0,0.99,L18,MzLS,,0.282+/-0.020,19.06,17.57,16.75,DESI-202.9388+51.5753,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=202.938800&dec=51.575300&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
368,DESI-203.8331-08.4487,203.8331,-8.4487,DC,3.0,0.16,L18,DECaLS,,0.486+/-0.078,21.23,19.89,18.88,DESI-203.8331-08.4487,skip,126720,0
370,DESI-214.8006+53.4366,214.8006,53.4366,DC,3.0,0.98,L18,MzLS,0.1527,,21.48,19.5,17.98,DESI-214.8006+53.4366,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=214.800600&dec=53.436600&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
372,DESI-218.0748+07.0556,218.0748,7.0556,DC,3.0,0.79,L18,DECaLS,0.5642,,22.88,21.27,19.79,DESI-218.0748+07.0556,skip,126720,0
373,DESI-219.2455+29.6141,219.2455,29.6141,DC,3.0,0.46,L18,DECaLS,0.5041,,20.47,18.8,17.89,DESI-219.2455+29.6141,skip,126720,0
374,DESI-220.4044+50.2463,220.4044,50.2463,DC,3.0,1.0,L18,MzLS,0.5422,,21.96,21.05,19.46,DESI-220.4044+50.2463,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=220.404400&dec=50.246300&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
375,DESI-223.1039+48.4711,223.1039,48.4711,DC,3.0,0.56,L18,MzLS,0.4441,,20.81,18.97,17.99,DESI-223.1039+48.4711,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=223.103900&dec=48.471100&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
377,DESI-225.4050+52.1417,225.405,52.1417,DC,3.0,0.98,L18,MzLS,0.5527,,23.34,21.73,19.99,DESI-225.4050+52.1417,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=225.405000&dec=52.141700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
378,DESI-228.0786+20.8316,228.0786,20.8316,DC,3.0,0.19,L18,DECaLS,,0.432+/-0.034,21.64,19.93,18.98,DESI-228.0786+20.8316,skip,126720,0
379,DESI-228.8268+63.2724,228.8268,63.2724,DC,3.0,0.22,L18,MzLS,0.6335,,21.47,19.59,18.05,DESI-228.8268+63.2724,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=228.826800&dec=63.272400&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
380,DESI-231.2874+42.4646,231.2874,42.4646,DC,3.0,0.17,L18,MzLS,0.2971,,24.01,23.03,21.61,DESI-231.2874+42.4646,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=231.287400&dec=42.464600&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
381,DESI-231.4998+08.7774,231.4998,8.7774,DC,3.0,0.8,L18,DECaLS,0.28,,21.76,20.26,18.92,DESI-231.4998+08.7774,ok,126720,1
382,DESI-231.8201+12.9511,231.8201,12.9511,DC,3.0,0.8,L18,DECaLS,,0.709+/-0.148,22.64,21.25,19.74,DESI-231.8201+12.9511,ok,126720,1
383,DESI-233.7453+01.3400,233.7453,1.34,DC,3.0,0.34,L18,DECaLS,,0.310+/-0.020,18.9,17.31,16.44,DESI-233.7453+01.3400,skip,126720,0
384,DESI-234.4783+14.7232,234.4783,14.7232,DC,3.0,0.98,L18,DECaLS,0.2603,,22.07,20.94,19.39,DESI-234.4783+14.7232,skip,126720,0
386,DESI-236.3307+16.2141,236.3307,16.2141,DC,3.0,0.18,L18,DECaLS,0.5424,,20.25,18.37,17.4,DESI-236.3307+16.2141,skip,126720,0
387,DESI-236.4854+10.0292,236.4854,10.0292,DC,3.0,0.95,L18,DECaLS,0.5457,,21.2,19.46,17.93,DESI-236.4854+10.0292,skip,126720,0
388,DESI-236.5553+35.0802,236.5553,35.0802,DC,3.0,0.99,L18,MzLS,0.5426,,20.08,18.79,17.95,DESI-236.5553+35.0802,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=236.555300&dec=35.080200&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
389,DESI-244.3589+20.7108,244.3589,20.7108,DC,3.0,1.0,L18,DECaLS,0.5273,,22.41,20.83,19.4,DESI-244.3589+20.7108,skip,126720,0
390,DESI-244.5899+53.1871,244.5899,53.1871,DC,3.0,0.45,L18,MzLS,,0.454+/-0.028,20.67,18.93,17.87,DESI-244.5899+53.1871,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=244.589900&dec=53.187100&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
391,DESI-255.6529+28.5791,255.6529,28.5791,DC,3.0,1.0,L18,DECaLS,0.3393,,20.75,19.0,18.02,DESI-255.6529+28.5791,skip,126720,0
392,DESI-257.4348+31.9046,257.4348,31.9046,DC,3.0,0.99,L18,DECaLS,0.3667,,21.9,20.62,18.99,DESI-257.4348+31.9046,skip,126720,0
393,DESI-259.0541+28.5928,259.0541,28.5928,DC,3.0,0.92,L18,DECaLS,,0.277+/-0.007,19.05,17.51,16.68,DESI-259.0541+28.5928,skip,126720,0
398,DESI-273.4736+34.7448,273.4736,34.7448,DC,3.0,0.5,L18,MzLS,0.3106,,19.99,18.37,17.45,DESI-273.4736+34.7448,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=273.473600&dec=34.744800&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
400,DESI-293.9927+58.1525,293.9927,58.1525,DC,3.0,0.58,L18,MzLS,0.3202,,20.81,18.92,17.43,DESI-293.9927+58.1525,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=293.992700&dec=58.152500&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
401,DESI-311.4249-10.6762,311.4249,-10.6762,DC,3.0,0.34,L18,DECaLS,0.6334,,17.43,16.37,15.61,DESI-311.4249-10.6762,skip,126720,0
402,DESI-313.9780+08.7331,313.978,8.7331,DC,3.0,0.63,L18,DECaLS,0.1857,,22.87,21.13,19.42,DESI-313.9780+08.7331,skip,126720,0
405,DESI-335.2291-11.4857,335.2291,-11.4857,DC,3.0,0.85,L18,DECaLS,,0.520+/-0.009,21.75,19.78,18.57,DESI-335.2291-11.4857,ok,126720,1
406,DESI-337.2103+14.9081,337.2103,14.9081,DC,3.0,0.99,L18,DECaLS,0.5512,,22.78,21.62,19.98,DESI-337.2103+14.9081,ok,126720,1
407,DESI-342.1516+20.2529,342.1516,20.2529,DC,3.0,0.13,L18,DECaLS,0.5847,,22.68,20.8,18.91,DESI-342.1516+20.2529,skip,126720,0
409,DESI-353.4326-03.4619,353.4326,-3.4619,REX,3.0,0.94,L18,DECaLS,0.6753,,21.51,20.72,19.76,DESI-353.4326-03.4619,skip,126720,0
412,DESI-356.8114-00.7980,356.8114,-0.798,DC,3.0,0.52,L18,DECaLS,,0.786+/-0.017,22.99,20.86,18.98,DESI-356.8114-00.7980,skip,126720,0
414,DESI-359.1477-13.2930,359.1477,-13.293,DC,3.0,1.0,L18,DECaLS,0.5214,,21.68,20.67,19.28,DESI-359.1477-13.2930,skip,126720,0
415,DESI-000.0254+21.6415,0.0254,21.6415,REX,2.5,0.24,L18,DECaLS,0.503,,20.98,19.66,18.59,DESI-000.0254+21.6415,skip,126720,0
416,DESI-000.0369+21.2841,0.0369,21.2841,DC,2.5,1.0,L18,DECaLS,,0.357+/-0.066,21.66,20.06,19.23,DESI-000.0369+21.2841,skip,126720,0
417,DESI-000.2881-10.5619,0.2881,-10.5619,DC,2.5,0.18,L18,DECaLS,0.438,,20.75,19.66,18.54,DESI-000.2881-10.5619,skip,126720,0
419,DESI-000.6943+27.0894,0.6943,27.0894,REX,2.5,0.39,L18,DECaLS,0.5841,,21.85,21.08,19.77,DESI-000.6943+27.0894,skip,126720,0
422,DESI-001.4446+15.8147,1.4446,15.8147,DC,2.5,0.41,L18,DECaLS,0.2141,,18.88,17.5,16.67,DESI-001.4446+15.8147,skip,126720,0
424,DESI-001.7036-11.2181,1.7036,-11.2181,DC,2.5,0.11,L18,DECaLS,0.2862,,20.78,19.15,18.25,DESI-001.7036-11.2181,skip,126720,0
431,DESI-002.7167+18.5282,2.7167,18.5282,DC,2.5,0.79,L18,DECaLS,,0.604+/-0.072,22.05,20.58,19.41,DESI-002.7167+18.5282,skip,126720,0
432,DESI-002.9359+01.0175,2.9359,1.0175,REX,2.0,0.15,L18,DECaLS,0.7402,,21.31,20.44,19.27,DESI-002.9359+01.0175,skip,126720,0
443,DESI-006.0703+01.4212,6.0703,1.4212,DC,2.0,0.48,L18,DECaLS,0.4951,,20.97,19.28,18.19,DESI-006.0703+01.4212,skip,126720,0
446,DESI-006.2199-01.8426,6.2199,-1.8426,REX,2.5,0.21,L18,DECaLS,0.6907,,22.03,21.06,19.84,DESI-006.2199-01.8426,skip,126720,0
447,DESI-006.3643+10.1853,6.3643,10.1853,DC,2.5,0.14,L18,DECaLS,0.4579,,20.34,18.58,17.49,DESI-006.3643+10.1853,skip,126720,0
449,DESI-006.4448+03.6455,6.4448,3.6455,DC,2.0,0.25,L18,DECaLS,0.4092,,21.1,19.39,18.45,DESI-006.4448+03.6455,skip,126720,0
450,DESI-006.5376-05.1005,6.5376,-5.1005,DC,2.0,0.18,L18,DECaLS,0.3694,,20.65,18.9,17.96,DESI-006.5376-05.1005,skip,126720,0
453,DESI-006.9518-03.8141,6.9518,-3.8141,DC,2.0,0.14,L18,DECaLS,0.5883,,23.69,21.85,19.85,DESI-006.9518-03.8141,skip,126720,0
454,DESI-007.0770-27.5692,7.077,-27.5692,DC,2.5,0.22,L18,DECaLS,,0.881+/-0.074,23.36,21.7,19.84,DESI-007.0770-27.5692,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=7.077000&dec=-27.569200&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
457,DESI-007.4408-02.3542,7.4408,-2.3542,DC,2.5,0.99,L18,DECaLS,0.6435,,21.34,19.91,18.63,DESI-007.4408-02.3542,skip,126720,0
459,DESI-007.7075-31.8051,7.7075,-31.8051,DC,2.5,0.22,L18,DECaLS,,0.221+/-0.006,18.05,16.72,15.97,DESI-007.7075-31.8051,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=7.707500&dec=-31.805100&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
460,DESI-007.7552-24.4012,7.7552,-24.4012,DC,2.5,0.99,L18,DECaLS,,0.623+/-0.013,21.59,19.72,18.25,DESI-007.7552-24.4012,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=7.755200&dec=-24.401200&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
461,DESI-007.9602-00.6805,7.9602,-0.6805,DC,2.0,0.58,L18,DECaLS,0.4808,,21.47,19.63,18.58,DESI-007.9602-00.6805,ok,126720,1
462,DESI-008.0561+11.4205,8.0561,11.4205,DC,2.5,0.69,L18,DECaLS,0.3835,,22.28,20.41,19.38,DESI-008.0561+11.4205,skip,126720,0
463,DESI-008.6662-13.6007,8.6662,-13.6007,DC,2.5,0.67,L18,DECaLS,,0.714+/-0.040,23.2,21.27,19.63,DESI-008.6662-13.6007,ok,126720,1
466,DESI-009.4655-11.1778,9.4655,-11.1778,DC,2.5,1.0,L18,DECaLS,0.6034,,20.8,19.77,18.64,DESI-009.4655-11.1778,ok,126720,1
467,DESI-009.4901-61.7741,9.4901,-61.7741,REX,2.0,0.13,L18,DECaLS,,0.366+/-0.095,21.14,19.98,19.21,DESI-009.4901-61.7741,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=9.490100&dec=-61.774100&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
468,DESI-009.5831-22.7369,9.5831,-22.7369,DC,2.5,0.34,L18,DECaLS,,0.669+/-0.037,23.23,21.32,19.78,DESI-009.5831-22.7369,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=9.583100&dec=-22.736900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
474,DESI-010.4341-23.6515,10.4341,-23.6515,DC,2.5,1.0,L18,DECaLS,0.3905,,19.71,17.91,16.93,DESI-010.4341-23.6515,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=10.434100&dec=-23.651500&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
475,DESI-010.5365-09.9688,10.5365,-9.9688,DC,2.0,0.17,L18,DECaLS,0.4173,,20.63,19.2,18.26,DESI-010.5365-09.9688,ok,126720,1
476,DESI-010.5692-05.5844,10.5692,-5.5844,DC,2.0,1.0,L18,DECaLS,0.2764,,21.78,20.96,19.2,DESI-010.5692-05.5844,skip,126720,0
477,DESI-010.6237-15.1890,10.6237,-15.189,DC,2.5,0.49,L18,DECaLS,,0.407+/-0.011,20.27,18.42,17.47,DESI-010.6237-15.1890,skip,126720,0
479,DESI-011.1176-09.8211,11.1176,-9.8211,DC,2.0,0.29,L18,DECaLS,0.5485,,22.4,20.42,18.91,DESI-011.1176-09.8211,skip,126720,0
480,DESI-011.6128-26.6737,11.6128,-26.6737,DC,2.5,0.76,L18,DECaLS,,0.399+/-0.117,20.47,18.67,17.75,DESI-011.6128-26.6737,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=11.612800&dec=-26.673700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
482,DESI-012.5414-15.3948,12.5414,-15.3948,DC,2.0,0.1,L18,DECaLS,,0.458+/-0.045,21.15,19.46,18.4,DESI-012.5414-15.3948,skip,126720,0
483,DESI-012.6879+05.1953,12.6879,5.1953,DC,2.0,0.95,L18,DECaLS,0.394,,20.56,18.92,18.0,DESI-012.6879+05.1953,skip,126720,0
486,DESI-013.0826-21.4621,13.0826,-21.4621,DC,2.5,0.82,L18,DECaLS,,0.533+/-0.041,21.0,19.61,18.62,DESI-013.0826-21.4621,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=13.082600&dec=-21.462100&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
487,DESI-013.3666-16.0988,13.3666,-16.0988,DC,2.5,0.63,L18,DECaLS,,0.680+/-0.100,21.49,20.22,18.92,DESI-013.3666-16.0988,skip,126720,0
490,DESI-014.1862-18.9657,14.1862,-18.9657,DC,2.0,0.96,L18,DECaLS,,0.410+/-0.029,21.45,19.64,18.64,DESI-014.1862-18.9657,skip,126720,0
491,DESI-014.2189-16.4016,14.2189,-16.4016,DC,2.5,0.97,L18,DECaLS,,0.359+/-0.013,20.36,18.66,17.77,DESI-014.2189-16.4016,skip,126720,0
492,DESI-014.2352-25.7746,14.2352,-25.7746,DC,2.0,0.97,L18,DECaLS,,0.606+/-0.010,21.7,19.83,18.4,DESI-014.2352-25.7746,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=14.235200&dec=-25.774600&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
493,DESI-014.2478-14.0421,14.2478,-14.0421,DC,2.0,0.94,L18,DECaLS,,0.426+/-0.036,20.16,18.42,17.45,DESI-014.2478-14.0421,skip,126720,0
494,DESI-014.2970-13.2907,14.297,-13.2907,DC,2.5,0.57,L18,DECaLS,,0.388+/-0.026,20.51,18.84,17.92,DESI-014.2970-13.2907,skip,126720,0
496,DESI-014.4115-29.9751,14.4115,-29.9751,DC,2.5,0.97,L18,DECaLS,,0.723+/-0.023,21.1,19.29,17.6,DESI-014.4115-29.9751,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=14.411500&dec=-29.975100&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
498,DESI-014.6810-05.0260,14.681,-5.026,DC,2.0,0.88,L18,DECaLS,0.5929,,21.55,20.62,19.09,DESI-014.6810-05.0260,skip,126720,0
499,DESI-014.8630-23.2117,14.863,-23.2117,DC,2.0,0.37,L18,DECaLS,,0.852+/-0.076,21.45,20.5,18.99,DESI-014.8630-23.2117,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=14.863000&dec=-23.211700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
501,DESI-014.9575-05.5838,14.9575,-5.5838,DC,2.5,0.99,L18,DECaLS,0.5091,,21.77,20.23,18.98,DESI-014.9575-05.5838,skip,126720,0
503,DESI-015.4277-15.0401,15.4277,-15.0401,DC,2.5,0.98,L18,DECaLS,,0.646+/-0.029,21.65,20.08,18.74,DESI-015.4277-15.0401,skip,126720,0
504,DESI-015.6198-20.2297,15.6198,-20.2297,DC,2.5,1.0,L18,DECaLS,,0.414+/-0.033,20.71,19.01,18.08,DESI-015.6198-20.2297,skip,126720,0
505,DESI-015.6786-23.9439,15.6786,-23.9439,DC,2.0,0.82,L18,DECaLS,,0.799+/-0.270,22.43,20.56,18.96,DESI-015.6786-23.9439,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=15.678600&dec=-23.943900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
506,DESI-015.9876-07.1360,15.9876,-7.136,DC,2.5,1.0,L18,DECaLS,0.4384,,20.88,19.17,18.1,DESI-015.9876-07.1360,skip,126720,0
507,DESI-016.3301-16.4985,16.3301,-16.4985,DC,2.0,0.52,L18,DECaLS,,0.507+/-0.062,21.49,19.89,18.85,DESI-016.3301-16.4985,skip,126720,0
508,DESI-016.4629-05.0324,16.4629,-5.0324,DC,2.5,0.98,L18,DECaLS,0.5998,,21.79,20.13,18.57,DESI-016.4629-05.0324,skip,126720,0
509,DESI-016.9846-14.6625,16.9846,-14.6625,DC,2.5,0.97,L18,DECaLS,,0.610+/-0.034,21.28,19.99,18.89,DESI-016.9846-14.6625,skip,126720,0
510,DESI-017.1638-08.3884,17.1638,-8.3884,DC,2.0,0.91,L18,DECaLS,0.5754,,22.3,20.28,19.03,DESI-017.1638-08.3884,ok,126720,1
511,DESI-017.3346-07.3951,17.3346,-7.3951,DC,2.5,0.72,L18,DECaLS,0.5312,,23.29,21.02,18.95,DESI-017.3346-07.3951,skip,126720,0
512,DESI-017.6727-14.7914,17.6727,-14.7914,DC,2.5,1.0,L18,DECaLS,,0.668+/-0.104,22.48,21.04,19.74,DESI-017.6727-14.7914,skip,126720,0
513,DESI-017.7799+13.7789,17.7799,13.7789,DC,2.5,1.0,L18,DECaLS,0.6633,,21.16,19.65,18.08,DESI-017.7799+13.7789,skip,126720,0
515,DESI-017.8812+08.9282,17.8812,8.9282,DC,2.5,0.97,L18,DECaLS,0.4062,,19.68,17.97,16.87,DESI-017.8812+08.9282,skip,126720,0
517,DESI-018.2042-02.9176,18.2042,-2.9176,DC,2.5,0.52,L18,DECaLS,0.3623,,17.29,16.04,15.22,DESI-018.2042-02.9176,skip,126720,0
518,DESI-018.5346-19.7225,18.5346,-19.7225,DC,2.5,0.95,L18,DECaLS,,0.373+/-0.048,20.78,19.21,18.25,DESI-018.5346-19.7225,skip,126720,0
520,DESI-019.3417-30.0427,19.3417,-30.0427,REX,2.5,0.53,L18,DECaLS,,0.328+/-0.051,19.74,18.56,17.78,DESI-019.3417-30.0427,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=19.341700&dec=-30.042700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
522,DESI-019.4701-11.0283,19.4701,-11.0283,REX,2.0,0.78,L18,DECaLS,,0.796+/-0.072,21.22,20.44,19.3,DESI-019.4701-11.0283,skip,126720,0
524,DESI-019.8252-22.6356,19.8252,-22.6356,DC,2.5,1.0,L18,DECaLS,0.1714,,21.01,19.42,18.44,DESI-019.8252-22.6356,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=19.825200&dec=-22.635600&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
527,DESI-020.3660+21.7344,20.366,21.7344,DC,2.5,0.94,L18,DECaLS,0.6365,,20.44,18.6,17.18,DESI-020.3660+21.7344,skip,126720,0
528,DESI-020.6044-08.5205,20.6044,-8.5205,DC,2.5,1.0,L18,DECaLS,0.5325,,20.97,19.3,18.16,DESI-020.6044-08.5205,skip,126720,0
532,DESI-021.8652-36.8157,21.8652,-36.8157,REX,2.5,0.22,L18,DECaLS,,0.689+/-0.162,21.05,20.14,19.38,DESI-021.8652-36.8157,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=21.865200&dec=-36.815700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
533,DESI-022.2506+00.1193,22.2506,0.1193,DC,2.0,0.93,L18,DECaLS,0.3288,,20.29,18.87,18.03,DESI-022.2506+00.1193,skip,126720,0
534,DESI-022.2823-07.0851,22.2823,-7.0851,DC,2.0,0.11,L18,DECaLS,0.3398,,19.96,18.51,17.65,DESI-022.2823-07.0851,skip,126720,0
