name,RA,DEC,grade,nearest_row_id,nearest_sep_arcsec,nearest_score,in_scored_set
DESI-011.5084-01.9412,11.5084,-1.9412,A,318894_5214,0.06841951325882638,0.9997188448905945,True
DESI-015.8164+00.0823,15.8164,0.0823,A,330431_7722,0.11222063452750171,0.9917165637016296,True
DESI-016.3319+01.7490,16.3319,1.749,A,340513_3721,0.14544079495381454,0.9978048205375671,True
DESI-016.5230+00.5463,16.523,0.5463,A,333314_5815,0.07021837866540251,0.99974125623703,True
DESI-018.1074+02.3773,18.1074,2.3773,A,344840_8,0.16410362451874416,0.18658551573753357,True
DESI-019.4949-05.4550,19.4949,-5.455,A,298797_4641,0.15858896093435573,0.9999510049819946,True
DESI-019.6618-05.4441,19.6618,-5.4441,A,298798_4805,0.04123991595728553,0.9838002324104309,True
DESI-022.7106-16.0024,22.7106,-16.0024,A,239431_3755,0.05114010150999101,0.9999728202819824,True
DESI-024.1631+00.1384,24.1631,0.1384,A,331904_327,0.2424114962961653,0.9904401302337646,True
DESI-025.2755-17.2232,25.2755,-17.2232,A,232538_4153,0.19136588567635693,0.9999977350234985,True
DESI-026.1390-11.7026,26.139,-11.7026,A,263222_4537,0.048682985227473545,0.9999768733978271,True
DESI-026.2679-04.9310,26.2679,-4.931,A,301694_5565,0.15660233808337934,0.9999986886978149,True
DESI-026.4848+04.0413,26.4848,4.0413,A,353507_4368,0.06918866668607963,0.9999858140945435,True
DESI-027.3284-13.8180,27.3284,-13.818,A,251984_1985,0.08884172818739504,0.9999948740005493,True
DESI-027.9723-14.8069,27.9723,-14.8069,A,246400_2325,0.08277962308532702,0.9999592304229736,True
DESI-029.6032-00.6665,29.6032,-0.6665,A,326166_5813,0.15288637219975812,0.9999433755874634,True
DESI-030.2832-15.8547,30.2832,-15.8547,A,240846_640,0.15998904089644667,0.9999356269836426,True
DESI-031.1712-15.0266,31.1712,-15.0266,A,245020_2232,0.08260204958435426,0.9999850988388062,True
DESI-036.1436-00.0411,36.1436,-0.0411,A,330512_2309,0.09268683015273957,0.9964408278465271,True
DESI-036.4422-07.6274,36.4422,-7.6274,A,285982_5166,0.15791838103068634,0.8744100332260132,True
