row_id,RA,DEC,euclid_id,euclid_grade,expert_score,v3_known,euclid_fits
s_76594_8939,62.61488980991852,-50.32575613428242,102019131_NEG626148898503257561,B,1.7984299976640037,False,True
s_77501_1901,55.424489773047206,-49.95205175779687,102019585_NEG554244897499520517,C,0.5057958995110152,False,False
s_79373_7769,58.20193296550151,-49.470542185359534,102020057_NEG582019329494705421,A,2.785550204893771,False,True
s_80314_12621,59.08148989976037,-49.36501436418274,102020059_NEG590814898493650143,B,1.5349278269391289,False,True
s_80320_14056,61.23884687469332,-49.37263896690335,102020061_NEG612388468493726389,A,2.1178055726640457,True,True
s_81265_19641,61.44857834279557,-48.98873361325271,102020535_NEG614485783489887336,C,0.8088635844369207,False,False
s_83157_8409,57.70247875982041,-48.40622214909423,102021009_NEG577024787484062221,A,2.505657438483567,False,True
s_83170_18620,62.68550462996505,-48.40456817772637,102021016_NEG626855046484045681,C,0.7508692932240651,False,False
s_82219_15368,63.41462793838686,-48.6865014442007,102021017_NEG634146279486865014,A,3.0388510528475066,True,True
s_84136_4630,65.1956451002235,-48.35995837358245,102021019_NEG651956451483599583,A,2.942795067548398,False,True
s_88007_7987,62.21893769144855,-47.29485831343858,102021986_NEG622189376472948583,B,1.9223935098615328,False,True
s_87034_16633,63.784589200839584,-47.5954405864353,102021988_NEG637845892475954405,A,2.5295846523717183,False,False
s_88985_21272,61.26398243879182,-47.12419526941122,102022477_NEG612639824471241952,C,0.6758201758555099,False,False
s_88997_602,65.36496839836326,-47.02507994136218,102022483_NEG653649683470250799,B,1.8072614281591823,False,True
s_171705_12889,52.28830033305185,-28.807141695477657,102042914_NEG522883003288071416,C,0.7873307296969615,False,False
s_169188_5518,53.3251142778574,-29.15096706182251,102042916_NEG533251142291509670,A,2.5902184063359392,False,True
s_170452_12281,54.94306073412681,-28.92271146084221,102042919_NEG549430607289227114,C,0.6538815892922396,False,False
s_170452_14504,54.97255557552779,-29.07568680536772,102042919_NEG549725555290756868,A,2.8006372903287686,False,True
s_170452_17399,55.01051552373555,-29.12388069970221,102042919_NEG550105155291238806,B,1.874770390733021,False,True
s_172969_21606,52.237411097924976,-28.475599930499843,102043547_NEG522374110284755999,C,0.7101882891410527,False,False
s_175517_12995,54.8183212720821,-27.89295262562563,102044188_NEG548183212278929526,C,0.8855429409779043,False,False
s_179335_6767,51.0020362232379,-27.191517292522285,102045463_NEG510020362271915172,B,1.6053972628561712,True,True
s_181908_4321,52.09159974421815,-26.82956627273037,102045465_NEG520915997268295662,C,0.660980878603292,False,False
s_180628_574,53.75817891108607,-27.114481825241555,102045468_NEG537581789271144818,B,1.7221745595495523,True,True
s_69419_9261,82.76514747448525,-52.35604962155112,SAS_OTF_RELEASE_102017347_NEG827651474523560496,B,1.9591111186285324,True,False
s_73880_3612,75.27780741996665,-50.91311904251786,SAS_OTF_RELEASE_102018688_NEG752778074509131190,A,3.003766895005117,False,False
s_92983_6817,70.15884988980028,-46.08271419805127,SAS_OTF_RELEASE_102023488_NEG701588498460827141,A,2.803237280680048,True,False
s_93992_10641,71.75012750046893,-45.813216725554,SAS_OTF_RELEASE_102023491_NEG717501275458132167,C,0.8356237891712773,False,False
s_95070_5055,96.25069516981578,-45.43575470138977,SAS_OTF_RELEASE_102024031_NEG962506951454357547,A,3.003237280680048,False,False
s_100135_5466,79.1735367567412,-44.279005046266015,SAS_OTF_RELEASE_102025033_NEG791735367442790050,A,2.7810956006734817,True,False
s_99114_11299,82.79180241208634,-44.4714536333005,SAS_OTF_RELEASE_102025038_NEG827918024444714536,C,1.2257513770500656,True,False
s_104279_7476,70.37186007779445,-43.23723612503878,SAS_OTF_RELEASE_102026063_NEG703718600432372361,A,3.042685077943233,False,False
s_127296_2627,81.07012939005872,-37.90371425499774,SAS_OTF_RELEASE_102032115_NEG810701293379037142,A,2.903237280680048,False,False
s_130726_2433,81.4775563367243,-37.204165032271966,SAS_OTF_RELEASE_102033265_NEG814775563372041650,A,2.054255121771256,True,False
s_136543_2444,90.98538702655982,-35.96842006384654,SAS_OTF_RELEASE_102034444_NEG909853870359684200,B,1.9302306665728923,True,False
