row_id,RA,DEC,brick,head_score,v3blend8,v2_pfinal,mimic_p,mimic_fdr_sel
s_418613_5924,346.0223769314374,15.229246984298921,3459p152,14.45684491960109,0.642185006002233,0.650961959901696,3.377807802736024e-05,False
s_393545_3644,36.5386818625103,11.051830688388169,0364p110,14.292553873762758,0.6408591449046092,0.7353793713107041,6.755615605472048e-05,False
s_351279_3047,188.5510942599809,3.5834238946153234,1886p035,14.197413316225179,0.3456930526908116,0.3241183644203247,6.755615605472048e-05,False
s_412701_165,258.8172077442802,14.152078952213872,2589p142,13.361708734628616,0.7121163131987742,0.7377872638914096,6.755615605472048e-05,False
s_498692_485,148.77166207423545,30.541822216089273,1488p305,13.35779807136697,0.8403567725073584,0.9354799236697019,6.755615605472048e-05,False
s_443836_3365,114.79739651286445,19.996001517403528,1148p200,13.270744460806451,0.5474493967899343,0.6055776042594371,6.755615605472048e-05,False
s_381146_2943,133.57875618947804,8.67076168487628,1336p087,13.260462365770126,0.7895436359849847,0.795519816622301,6.755615605472048e-05,False
s_504749_2906,113.59929521784726,31.774464773699318,1135p317,13.259561622319993,0.4947005357612595,0.5253264212639213,6.755615605472048e-05,False
s_262527_5299,208.80100893234882,-12.007667715217659,2087m120,13.11587563469971,0.7870118246137542,0.782947731122882,6.755615605472048e-05,False
s_292418_3815,216.82796563375496,-6.754123730189431,2168m067,13.032711840653793,0.9023880830447494,0.950070932871599,6.755615605472048e-05,False
s_310364_6649,38.207762597492135,-3.3905771216578806,0381m035,12.95830363899757,0.8258965299796535,0.8662368692988511,6.755615605472048e-05,False
s_353584_1095,45.67540540172667,4.010432734516166,0456p040,12.862930417772938,0.7248897785028581,0.6858236446508986,6.755615605472048e-05,False
s_441355_1111,177.13807039588278,19.500877324699676,1772p195,12.852824664433696,0.8319019464702502,0.9346648594619584,6.755615605472048e-05,False
s_399035_3411,354.82560608168137,11.679028487214921,3547p117,12.827020644320559,0.7788140904329008,0.8633439213310539,6.755615605472048e-05,False
s_336801_6572,168.48644662120685,1.0679576345662012,1683p010,12.824247426710402,0.9381654485643414,0.9787432908345075,6.755615605472048e-05,False
s_381188_1128,144.15106670972045,8.863257388250025,1442p087,12.765977833113082,0.9093840494335201,0.9787432908345075,6.755615605472048e-05,False
s_345385_2722,154.31156040886145,2.4884871334370597,1543p025,12.762580848156992,0.8431205100884931,0.9226770316872435,0.00010133423408208073,False
s_302191_13254,150.91536442744257,-5.0620720749062835,1507m050,12.461628467072568,0.5556045703737849,0.5758314565805855,0.00010133423408208073,False
