row_id,RA,DEC,v3blend8,head,euclid_grade,euclid_fits,known
s_81254_11929,57.33133995665899,-48.959219540742666,0.8247108906507492,2.7206172417578287,,False,False
s_94972_10790,61.53450876493861,-45.44010906008025,0.6911069117486477,2.16992804137521,,False,False
s_84129_16959,62.79572721338356,-48.32765254650316,0.6660265703685582,1.6584830018150845,,False,False
s_76594_8939,62.61486008067185,-50.32575571704556,0.6430385075509548,0.42061442775767555,B,True,False
s_179335_6767,51.002089485084056,-27.1916628947172,0.626561239361763,1.7122364418648637,B,True,True
s_85083_2731,59.30693968534497,-47.947264118954415,0.6184246856719255,0.40734038253232696,,False,False
s_171705_12889,52.288422202361,-28.807223055698778,0.607257547788322,1.2503375984722358,C,False,False
s_175515_12494,54.24677279532037,-28.11898215782914,0.5987063975335332,2.6103884345693458,,False,False
s_176787_9892,53.44575918815936,-27.83751411961419,0.5966292195371352,0.2613487470425968,,False,False
s_80320_14056,61.238852517636644,-49.37263855233265,0.5787652118015103,1.3164615994006337,A,True,True
s_81266_17283,61.79645676805018,-49.10839224235429,0.5718230134807527,2.4807924552534173,,False,False
s_79383_7572,61.91422648981923,-49.544525919142266,0.5686649566632695,-0.9922362515787024,,False,False
s_88984_24986,60.962464230034094,-47.02401832546887,0.5667931412463076,0.4594825934974145,,False,False
s_84118_9382,58.60920705257687,-48.22812260517628,0.5655532256932929,-0.6080154761079024,,False,True
s_82219_15368,63.41459313173361,-48.686543534969545,0.5633196182316169,2.227897197012889,A,True,True
s_176786_15814,53.23428900654878,-27.659163351449877,0.562577829696238,0.1658815645531595,,False,False
s_87026_15128,60.70166341843079,-47.382330695767855,0.5597330977325328,0.21543149209456547,,False,False
s_85083_2714,59.30654351381371,-47.94806391172163,0.555119575932622,1.6486858550103893,,False,False
s_174235_9642,51.51427702734823,-28.22363920581195,0.5531376539292978,-1.48335748014122,,False,False
s_81273_6822,64.28655715451393,-48.881913148332956,0.5506264301948249,0.13549475615287054,,False,True
s_84129_17055,62.79701168270834,-48.328682429866745,0.5497849815292284,-0.6085177673983506,,False,False
s_80327_11509,63.998290150405445,-49.138788135242876,0.5410506799235009,-1.067698687100338,,False,True
s_84134_10597,64.56811583536171,-48.28533251457031,0.5368857096764259,-1.229908505499652,,False,False
s_176785_18820,53.005617587278394,-27.64133265323261,0.5301256597304018,-8.221369728572734,,False,False
s_83176_8436,64.7833731081925,-48.47966510467818,0.5291791272466071,-0.8743498865269368,,False,False
s_86047_6151,58.292454098798686,-47.63165976144437,0.5282371486537158,1.171962364632983,,False,False
s_175510_17917,52.79796240202182,-27.882400880279587,0.5275349107250804,-2.661844540550458,,False,False
s_172970_3537,52.27855473403482,-28.479455654059326,0.5234738041326636,-2.260034337588289,,False,False
s_181908_4321,52.09173624586915,-26.829517209382786,0.522891728207469,0.8560537749614598,C,False,False
s_82211_14239,60.491505080475115,-48.75031966620152,0.5222258865833282,1.9020368594850163,,False,True
s_94970_9516,60.78061329139631,-45.47030371534951,0.5182516889180988,0.9292847396187831,,False,False
s_85089_12894,61.73026283246801,-48.08248956936075,0.5177256827009842,0.6527907115604639,,False,False
s_84123_16259,60.52134215307543,-48.135681555024206,0.516572609252762,-0.20805753981336395,,False,True
s_93968_433,62.86839463379826,-45.70458933788676,0.5157684127334505,2.1746787275949426,A,True,False
s_85091_8643,62.38905671731434,-48.01302554343197,0.513290727743879,1.4569507265978077,,False,False
s_88980_9638,59.40325289275832,-47.097919688002264,0.5117028611712158,2.0685673726338103,,False,True
