rank,is_new,rank_within_new,row_id,RA,DEC,mean5,footprint,brick
1,0,,s_276631_313,193.67978735675467,-9.48620261639168,0.7081857442623004,south,1937m095
2,0,,s_181942_4122,61.60163762747881,-26.773319735183065,0.6916853081900627,south,0616m267
3,0,,s_250540_6805,15.676301722734708,-14.015034634267895,0.6889512145891785,south,0155m140
4,0,,s_380761_1866,36.233914152961745,8.829918839292652,0.6837475180625916,south,0362p087
5,0,,s_281639_3461,20.604391587994396,-8.52051171499682,0.675350034236908,south,0205m085
6,0,,s_94861_9433,21.97164079601136,-45.54276220530482,0.6744401198811829,south,0218m455
7,0,,s_7275_2537,22.740411285999706,-78.11353661581457,0.6645150216296315,south,0230m780
8,0,,s_271809_5174,51.20514569332774,-10.348133326236637,0.6556143887341023,south,0511m102
9,0,,s_415164_5304,174.28201096493473,14.781064944261237,0.6527691666036844,south,1741p147
10,0,,s_296511_840,165.4754261008387,-6.042281034242716,0.6455009056255221,south,1655m060
11,0,,s_355507_450,166.99735127012187,4.1560263817563765,0.6451182395219803,south,1671p042
12,0,,s_209853_1103,139.80534312884723,-21.460422177095452,0.6438410196453332,south,1398m215
13,0,,s_299327_154,152.38889677404435,-5.60168345073786,0.6396947961300612,south,1525m055
14,0,,s_316463_427,123.75920395761086,-2.533974849437303,0.6353862174786628,south,1238m025
15,0,,s_180593_5604,44.09744789441882,-27.12182678511546,0.6347040311433375,south,0440m270
16,1,1.0,s_344767_6150,359.8897371097938,2.1399329226952966,0.6345152208465151,south,3598p022
17,0,,s_329222_530,73.51368828279516,-0.2708475935444613,0.633913675416261,south,0736m002
18,0,,s_441355_1188,177.1380728666007,19.50087773853335,0.6292882777750493,south,1772p195
19,0,,s_439987_5410,175.49597455222317,19.304137483188917,0.6225159160792828,south,1753p192
20,0,,s_407416_3311,339.63047164125624,13.332179124782096,0.6182202696800232,south,3396p132
21,0,,s_258877_687,355.67705880133025,-12.87064787106535,0.6138661305420101,south,3557m127
22,0,,s_41562_4180,42.24015918553729,-60.900970105655006,0.6135207412298769,south,0423m610
23,0,,s_68464_11443,52.737257089378694,-52.47026316493762,0.6100431710481644,south,0525m525
24,0,,s_40781_8597,358.82983906199166,-61.610285611939844,0.6096050609834492,south,3586m615
25,0,,s_512272_1747,178.00086888965052,33.2284554920619,0.6094421654939651,south,1780p332
26,0,,s_422054_3465,158.0944087766645,15.88458914371609,0.6093196980655193,south,1580p160
27,0,,s_166429_3374,341.44181516479847,-29.933082889019673,0.605655473889783,south,3414m300
28,0,,s_218895_5088,32.75250367176602,-19.63615714561371,0.605085033038631,south,0327m197
29,0,,s_309451_2973,169.61057832213058,-3.627514914218189,0.6024831844493747,south,1696m037
30,0,,s_452418_650,245.75138262464571,21.622603862946523,0.600273791141808,south,2458p215
31,0,,s_380761_1878,36.23435776901595,8.830572672648204,0.5997457951307297,south,0362p087
32,0,,s_131093_335,196.28576278060976,-37.230599404174484,0.598361168988049,south,1964m372
33,0,,s_98012_247,56.146243774498984,-44.79559873612024,0.5978278224822133,south,0563m447
34,0,,s_290868_636,186.82771663277026,-7.1226484328824915,0.5943304156418889,south,1869m070
35,0,,s_263391_2089,69.17344138964594,-11.761237958816594,0.5942867820849642,south,0692m117
36,0,,s_267446_2392,22.465015524169264,-10.959305870821003,0.5930529708508402,south,0225m110
37,0,,s_209853_1105,139.80541148324167,-21.460153617817564,0.5926813311874867,south,1398m215
38,0,,s_205319_6061,359.97718797355617,-22.459564427701874,0.591283540148288,south,3598m225
39,0,,s_472788_229,29.321825225566656,25.46989824441227,0.5901447739452124,south,0294p255
40,0,,s_461570_4944,196.82325231934752,23.1564537679862,0.5887361966539174,south,1966p232
41,0,,s_349955_1294,217.09360019979428,3.3000037060122143,0.5879615129902959,south,2171p032
42,0,,s_177986_10722,31.777805035780855,-27.44566725310654,0.5867476791143418,south,0316m275
43,0,,s_477215_5540,176.93111741442402,26.164390453535116,0.5863418562337757,south,1768p262
44,1,2.0,s_177885_8297,3.3669828554064383,-27.37779018600683,0.5852360798002337,south,0032m275
45,0,,s_341950_6798,15.659705773375999,1.9824477862302512,0.5849865386495366,south,0156p020
