rank,is_new,rank_within_new,row_id,RA,DEC,mean5,footprint,brick,sep_arcsec,klc_ra,klc_dec,klc_index,klc_ref,klc_dup,klc_catalog
3365,0,,s_88099_5592,96.0658726746994,-47.16164751530514,0.3702890094369649,south,0960m472,0.12099022127262896,96.06586,-47.16168,2978,Jacobs et al. 2019b,1,klc_clean250629ymh
11987,0,,s_80200_6872,15.49186920062577,-49.29395006812568,0.3129252087324857,south,0154m492,0.12106820163981034,15.49182,-49.29394,568,Jacobs et al. 2019b,1,klc_clean250629ymh
5441,0,,s_341304_5085,214.20754879688775,1.6395097050606822,0.3493447609245777,south,2141p017,0.12114460543055983,214.207571,1.639535,6252,SuGOHI6,1,klc_clean250629ymh
83659,1,73874.0,s_101200_8776,89.60710810232098,-44.10762436469174,0.2294788032537326,south,0894m440,0.12115663183094542,89.60711754,-44.10765733,11694,Storfer 2023,1,klc_clean250629ymh
134610,1,120591.0,s_273160_4894,34.10013671876335,-9.960889379898722,0.2093648521164141,south,0340m100,0.12124745412243987,34.100120000000004,-9.96086,1539,SL2S J021624-095739,1,klc_clean250629ymh
15393,1,11546.0,s_118257_5604,57.79556862187832,-39.968178631931984,0.3018791401525959,south,0577m400,0.12127776589641541,57.79561,-39.96819,2540,Stein21,1,klc_clean250629ymh
880,1,279.0,s_93908_4895,41.60499828029299,-45.745709328205294,0.4326420303899795,south,0416m457,0.1213157312258506,41.60495,-45.74571,2076,Diehl et al. 2017,1,klc_clean250629ymh
996,0,,s_326165_8411,29.45990505378122,-0.6384933683195569,0.4269502075854688,south,0293m007,0.12152923251827596,29.459938,-0.638486,1187,SuGOHI2,1,klc_clean250629ymh
12175,0,,s_431072_2280,350.18853946304864,17.493451473091614,0.3122509690467268,south,3501p175,0.12160838549280732,350.18853759765625,17.493417739868164,8576,Talbot,1,klc_clean250629ymh
17956,1,13817.0,s_355603_5237,191.22261870638644,4.221028162313633,0.2950004329904914,south,1911p042,0.12161123161442283,191.2226,4.221,5519,SuGOHI5,1,klc_clean250629ymh
74349,1,65222.0,s_181848_6318,35.40072687055607,-26.659176233113595,0.2345540766138583,south,0353m267,0.12163185468513812,35.4007,-26.6592,9605,Huang 2022,1,klc_clean250629ymh
1424,0,,s_448940_3705,34.38302709216443,20.952322392701728,0.4111063721124083,south,0343p210,0.12163328144795614,34.383,20.9523,9594,Huang 2022,1,klc_clean250629ymh
130149,1,116569.0,s_109398_6384,7.563299925302355,-41.9289338021786,0.2107534699927782,south,0075m420,0.12168800741603347,7.5633,-41.9289,10959,Storfer 2023,1,klc_clean250629ymh
91116,1,80790.0,s_231157_315,23.814635431093528,-17.404300684388826,0.225835937116426,south,0239m175,0.1217372733582733,23.8146,-17.4043,9495,Huang 2022,2,klc_clean250629ymh
2118,0,,s_334701_2111,3.2901814164974885,0.6676438171997864,0.3922532892785966,south,0033p007,0.12177066455468556,3.29016,0.66767,136,Jacobs et al. 2019b,1,klc_clean250629ymh
9514,0,,s_371486_1792,218.07483400732593,7.055602286176217,0.3235319804400206,south,2181p070,0.12177772443417814,218.0748,7.0556,9325,Huang 2022,1,klc_clean250629ymh
42497,1,35925.0,s_36193_5292,70.7037733776697,-62.95143556186811,0.2583025160245597,south,0708m630,0.12178270227782526,70.7037,-62.95143,2725,Jacobs et al. 2019b,1,klc_clean250629ymh
43890,1,37199.0,s_338502_6477,233.74531836831085,1.3399715000667236,0.2569177782395854,south,2336p012,0.12205308954730391,233.7453,1.34,9335,Huang 2022,1,klc_clean250629ymh
229,0,,s_137557_2980,43.39714838286866,-35.79208367068634,0.495051203481853,south,0434m357,0.12241150846657034,43.39711,-35.79207,2133,Jacobs et al. 2019b,1,klc_clean250629ymh
130754,1,117119.0,s_155302_2162,342.4121187672012,-32.19764988617077,0.2105605124612339,south,3424m322,0.12256144722792771,342.4121,-32.19768,8292,Petrillo et al. 2019,1,klc_clean250629ymh
254,0,,s_379777_1790,147.75288198551468,8.415729024523362,0.4894426880404353,south,1478p085,0.12261123910017917,147.7529,8.4157,9291,Huang 2022,1,klc_clean250629ymh
