rank,rank_within_new,row_id,RA,DEC,mean5,footprint,brick
16,1,s_344767_6150,359.8897371097938,2.1399329226952966,0.6345152208465151,south,3598p022
44,2,s_177885_8297,3.3669828554064383,-27.37779018600683,0.5852360798002337,south,0032m275
62,3,s_201949_4351,167.96501548583447,-22.886714730683067,0.566381538946007,south,1679m230
66,4,s_479147_5307,354.9561699664053,26.40869717635328,0.5623186398297548,south,3548p265
68,5,s_77242_4275,314.9219912874561,-50.30293694047288,0.5616644714027643,south,3150m502
86,6,s_485163_3345,243.0715151888819,27.789043734792624,0.5494513042736798,south,2430p277
89,7,s_486915_5049,18.141647643107103,28.26116725754705,0.5476031852187588,south,0180p282
121,8,s_509752_4848,148.51148283157553,32.82537621720113,0.5294357586302795,south,1484p327
136,9,s_85083_2280,59.30750290781855,-47.94637895435404,0.5222478475305252,south,0594m480
153,10,s_259406_2524,131.0062704090303,-12.482465848516311,0.5165905236266554,south,1310m125
156,11,s_40783_5553,359.7003154736319,-61.43302341002591,0.5161157999187708,south,3597m615
158,12,s_341816_8167,342.2457603503186,1.786436590664944,0.5156910582474665,south,3421p017
160,13,s_465430_986,168.2901470638154,23.949683866047017,0.515298754099058,south,1683p240
161,14,s_350518_4788,358.23648193087104,3.1909095336380267,0.5151963086333126,south,3581p032
162,15,s_92855_8349,24.266435703194677,-46.042645109890564,0.5147878717689309,south,0242m460
165,16,s_186875_3678,355.4545166638945,-26.108253625212974,0.5137689303141088,south,3554m260
167,17,s_320540_1521,63.04217037938511,-1.871356258511008,0.5127880563028157,south,0631m017
171,18,s_298853_6260,33.53386925456652,-5.592702957562247,0.5106810740195215,south,0335m055
173,19,s_441261_944,152.24696592699826,19.620980112617886,0.5104895997792482,south,1523p195
181,20,s_15263_5237,299.7589047180143,-72.87131191948491,0.5089097844436765,south,2995m727
182,21,s_136976_10065,224.62909696122367,-36.104519259340876,0.5070706011261791,south,2245m360
184,22,s_372511_5332,116.25111818108466,7.26613116316508,0.506810899451375,south,1161p072
201,23,s_159345_9377,88.04643464522121,-31.130252623820354,0.5002830429104506,south,0879m312
205,24,s_479792_5163,175.2171823264872,26.817397266027644,0.5002013206947595,south,1751p267
215,25,s_335324_2537,159.10235357184112,0.7028846048895844,0.49702141135931016,south,1591p007
217,26,s_341816_8173,342.24591094391195,1.7876502772487401,0.49673531575972446,south,3421p017
220,27,s_73654_3330,345.76970507211087,-51.25054427201714,0.4962494340783451,south,3458m512
221,28,s_275971_6475,26.733387641985747,-9.497882289543867,0.496048766002059,south,0267m095
225,29,s_81377_4704,103.81103479248901,-49.12033888532953,0.4953700490295887,south,1038m490
230,30,s_495362_440,267.99781046232425,29.858580807093716,0.49474166000727565,south,2681p297
234,31,s_38051_4050,358.55524402645636,-62.43832769282481,0.4937577338248957,south,3586m625
239,32,s_295122_4495,176.63992688586092,-6.180448467033486,0.49219264136627316,south,1766m062
241,33,s_171540_5599,5.271234581113016,-28.638487964865988,0.4914522100239992,south,0052m287
243,34,s_470448_2109,104.12285883317139,24.94933353641943,0.49131009038537743,south,1041p250
245,35,s_90886_8319,33.60966503733761,-46.59889202325272,0.49078011789533776,south,0335m465
249,36,s_331904_7195,24.163480852061177,0.13844825203987338,0.4898052219301462,south,0241p002
277,37,s_266063_10443,30.543764788951115,-11.1532141000189,0.4835263745859265,south,0304m112
278,38,s_359656_4258,127.04191373129538,4.889410854349198,0.4827243458479643,south,1269p050
280,39,s_116160_10254,92.01801698745587,-40.527526426886794,0.48265173272229733,south,0919m405
283,40,s_116160_10257,92.0180970022287,-40.528204244447494,0.48204953501699493,south,0919m405
285,41,s_333563_5172,78.94766481792222,0.6103807729875506,0.4812483484391123,south,0788p005
289,42,s_482204_5208,130.53117047391765,27.261716694100926,0.4806908839265816,south,1304p272
290,43,s_45723_7927,335.21655931898556,-59.82419558975586,0.48048057593405247,south,3350m597
296,44,s_183288_10419,77.6959936527671,-26.539519141618868,0.47991995709744517,south,0776m265
301,45,s_88742_5929,332.38818784547186,-47.21939558632873,0.4789941981638549,south,3322m472
303,46,s_490155_4632,218.11381814358,28.722098076902057,0.4789182377979159,south,2180p287
304,47,s_9148_7390,337.2165660460468,-76.64038505220331,0.4787173735443503,south,3368m767
306,48,s_278525_6988,313.3617759748785,-9.275831901319494,0.47826871699653567,south,3132m092
312,49,s_7084_8622,153.0978328794878,-78.21434070311717,0.4778892143862322,south,1528m782
313,50,s_436129_714,237.66794951074064,18.47653865252812,0.4778180515859276,south,2377p185
315,51,s_366611_2526,72.28291472413544,6.293757208797756,0.4777027446776628,south,0722p062
317,52,s_399018_5779,350.56466376519353,11.713447057356582,0.4775561556220055,south,3504p117
326,53,s_286067_5355,57.90700942710648,-7.87060524600717,0.47688896161853334,south,0578m077
332,54,s_46544_1856,17.58401211898524,-59.3677097047778,0.47625245939707384,south,0177m592
334,55,s_92855_8389,24.2679393597713,-46.041763877361234,0.4760858042020118,south,0242m460
339,56,s_267502_7700,36.81855828389536,-10.934124715019811,0.47525197588838636,south,0367m110
340,57,s_478649_115,215.94669807451055,26.578596060779233,0.475161024928093,south,2160p265
343,58,s_29115_1074,307.0040946229569,-66.02487268830981,0.4748571589589119,south,3072m660
346,59,s_472145_2130,211.8458489507411,25.26910273537051,0.47455552155151964,south,2118p252
350,60,s_9128_2971,315.0649962994373,-76.77613118785595,0.4741481654345989,south,3152m767
353,61,s_85083_2243,59.30653425736494,-47.94805725886485,0.4740515260025859,south,0594m480
357,62,s_268650_3980,328.60169922959165,-11.121169015253326,0.4734896158333868,south,3286m110
358,63,s_490204_4573,232.1000020385996,28.83612778203357,0.4734468476730399,south,2319p287
361,64,s_429222_1179,226.2949979827926,17.345142462006105,0.47285122573375704,south,2263p172
371,65,s_91999_9052,76.26969311103483,-46.19927948725406,0.47105077942833307,south,0761m462
373,66,s_94846_5599,16.494246799326902,-45.40161687883259,0.4706960060633719,south,0165m455
374,67,s_416446_238,145.35543559815426,14.951865406237026,0.47052182191982866,south,1454p150
377,68,s_441261_1000,152.24906346569009,19.62152661136019,0.4702103789895773,south,1523p195
383,69,s_266747_4593,204.66041828689555,-11.190173355162335,0.46991762332618237,south,2045m112
384,70,s_505064_4164,206.01819743150708,31.633570991409915,0.4698253289796412,south,2059p317
385,71,s_329546_677,154.53073353866455,-0.13676098148459553,0.46955353412777184,south,1546m002
392,72,s_107138_4085,324.77517980450824,-42.85950123845653,0.46886285044602116,south,3248m427
396,73,s_170223_5191,349.654865188987,-29.343618922873027,0.4683944009768311,south,3495m292
397,74,s_53539_12589,82.22922392917859,-56.938870903556385,0.4682842548703775,south,0820m570
398,75,s_320374_7734,21.728306877514882,-1.6451436621306317,0.46817838177084925,south,0216m017
401,76,s_333780_3032,133.12569505516294,0.4204380882639751,0.4680578388972208,south,1331p005
405,77,s_490204_4561,232.09960247495178,28.83629082052101,0.46758986884960907,south,2319p287
408,78,s_273143_9935,29.89965837394018,-10.073125237632816,0.46745619144057854,south,0297m100
416,79,s_285331_5794,232.42763247179022,-8.118833786795303,0.46648956974968314,south,2323m080
417,80,s_410167_5271,326.48892126620484,13.843448599231287,0.466454922221601,south,3264p137
418,81,s_209481_7712,40.173012439574336,-21.450282763297437,0.4663685178617015,south,0401m215
419,82,s_164712_685,206.30678767324568,-30.30712982682059,0.4663572933524847,south,2064m302
420,83,s_479741_3790,160.87350660921086,26.66150672115808,0.4661670157685876,south,1608p267
421,84,s_426221_3333,162.64352629463448,16.791637545341537,0.4660194589290768,south,1626p167
428,85,s_497380_3468,129.60488820315084,30.287888683633824,0.4654406484216452,south,1295p302
430,86,s_160324_4036,13.520211444159658,-30.969235066046863,0.4652423030900536,south,0135m310
431,87,s_208204_2563,57.009641682329395,-21.750958121621363,0.4650825515273027,south,0570m217
432,88,s_485163_3319,243.07043204843833,27.789035770391838,0.4650803362950683,south,2430p277
433,89,s_178054_5684,50.764931907042296,-27.568706237114277,0.465020637519774,south,0507m275
435,90,s_224913_3178,183.85450140122873,-18.78849407781039,0.464957475150004,south,1838m187
436,91,s_87938_1720,36.787410578635594,-47.31550329087695,0.4648047024384141,south,0369m472
437,92,s_222314_6613,218.02420050787077,-19.217903415336973,0.46478032630402594,south,2179m192
442,93,s_135365_8632,87.15194870844691,-36.24299388959381,0.4636031448142603,south,0870m362
449,94,s_358522_2720,202.66904702834873,4.670755104154968,0.4630610247142613,south,2026p047
450,95,s_488746_3827,177.35115439386558,28.382987987437875,0.46290166564285756,south,1773p285
464,96,s_53349_8462,355.2728086922567,-57.26781936176867,0.46171015296131374,south,3551m572
