name,ra,dec,grade_truth,catalog,region,p_meta
s_418613_5924,346.0223769314374,15.22924698429892,?,claudenet_v3,dr10_south,14.45684491960109
s_393545_3644,36.5386818625103,11.051830688388169,?,claudenet_v3,dr10_south,14.292553873762758
s_351279_3047,188.5510942599809,3.5834238946153234,?,claudenet_v3,dr10_south,14.19741331622518
s_412701_165,258.8172077442802,14.152078952213872,?,claudenet_v3,dr10_south,13.361708734628616
s_498692_485,148.77166207423545,30.541822216089276,?,claudenet_v3,dr10_south,13.35779807136697
s_443836_3365,114.79739651286444,19.996001517403528,?,claudenet_v3,dr10_south,13.270744460806451
s_381146_2943,133.57875618947804,8.67076168487628,?,claudenet_v3,dr10_south,13.260462365770126
s_504749_2906,113.59929521784726,31.77446477369932,?,claudenet_v3,dr10_south,13.259561622319993
s_262527_5299,208.8010089323488,-12.00766771521766,?,claudenet_v3,dr10_south,13.11587563469971
s_292418_3815,216.82796563375496,-6.754123730189431,?,claudenet_v3,dr10_south,13.032711840653793
s_310364_6649,38.207762597492135,-3.3905771216578806,?,claudenet_v3,dr10_south,12.95830363899757
s_353584_1095,45.67540540172667,4.010432734516166,?,claudenet_v3,dr10_south,12.862930417772938
s_441355_1111,177.13807039588278,19.50087732469968,?,claudenet_v3,dr10_south,12.852824664433696
s_399035_3411,354.82560608168137,11.67902848721492,?,claudenet_v3,dr10_south,12.82702064432056
s_336801_6572,168.48644662120685,1.0679576345662012,?,claudenet_v3,dr10_south,12.824247426710402
s_381188_1128,144.15106670972045,8.863257388250025,?,claudenet_v3,dr10_south,12.765977833113082
s_345385_2722,154.31156040886145,2.48848713343706,?,claudenet_v3,dr10_south,12.762580848156992
s_302191_13254,150.91536442744257,-5.062072074906284,?,claudenet_v3,dr10_south,12.461628467072568
s_317921_1824,128.32284702272386,-2.26592384121192,?,claudenet_v3,dr10_south,12.176939685178436
s_201165_4479,315.40007771528815,-23.32284884237266,?,claudenet_v3,dr10_south,11.883601706403706
s_289350_3736,164.80512315258008,-7.144863940500535,?,claudenet_v3,dr10_south,11.665557731752402
s_382748_5950,178.73354287378214,8.946872163552653,?,claudenet_v3,dr10_south,11.59508287078142
s_366596_4084,68.60737213167252,6.371423994914611,?,claudenet_v3,dr10_south,11.449358555269622
s_287144_6126,329.3161918093737,-7.854117262672231,?,claudenet_v3,dr10_south,11.44405814609344
s_315268_3611,185.10258586790852,-2.700302028851816,?,claudenet_v3,dr10_south,11.369368600019198
s_306475_9936,144.63208806575838,-4.253471820273995,?,claudenet_v3,dr10_south,11.3603284313279
s_285006_11643,150.3813820629288,-7.956114609543961,?,claudenet_v3,dr10_south,10.96484385346192
s_361366_1417,195.5994232110421,5.233920076284468,?,claudenet_v3,dr10_south,10.860916100364673
s_373631_4164,38.220796697165895,7.523716813240458,?,claudenet_v3,dr10_south,10.13439132947292
s_342401_4155,128.395947495066,2.09622294610646,?,claudenet_v3,dr10_south,10.131104446855431
