name,ra,dec,grade_truth,catalog,region,p_meta
s_336801_6572,168.48644662120685,1.0679576345662012,?,claudenet_v3blend8,dr10_south,0.9381654485643414
s_487573_4126,204.60564633655056,28.329452845357867,?,claudenet_v3blend8,dr10_south,0.9334510191858318
s_217653_9799,63.161979346236045,-19.90307129626626,?,claudenet_v3blend8,dr10_south,0.9334510191858318
s_416616_8726,189.53701893053577,15.030902527113527,?,claudenet_v3blend8,dr10_south,0.9276095521642406
s_196121_2515,21.086036401014017,-24.029968374263944,?,claudenet_v3blend8,dr10_south,0.9253528802647115
s_229220_4404,236.28465722355915,-18.119871467935702,?,claudenet_v3blend8,dr10_south,0.9225267618477848
s_164595_539,172.5087113116581,-30.17499858730115,?,claudenet_v3blend8,dr10_south,0.9181097024504475
s_42996_3216,53.744371086465215,-60.58052311358592,?,claudenet_v3blend8,dr10_south,0.9096889271915463
s_381188_1128,144.15106670972045,8.863257388250025,?,claudenet_v3blend8,dr10_south,0.9093840494335201
s_80046_878,316.2704796909806,-49.57831211397798,?,claudenet_v3blend8,dr10_south,0.9068514370406551
s_242312_5043,50.356641817805574,-15.500980012857243,?,claudenet_v3blend8,dr10_south,0.9039827668839227
s_276648_1536,198.02496218970305,-9.606541191577158,?,claudenet_v3blend8,dr10_south,0.9032232070925494
s_137557_3031,43.39714708658357,-35.792087395838855,?,claudenet_v3blend8,dr10_south,0.9031512746387254
s_318982_1503,33.53338334220991,-2.1079251039513993,?,claudenet_v3blend8,dr10_south,0.9030028776996861
s_119342_4162,50.71637140160282,-39.76937097852493,?,claudenet_v3blend8,dr10_south,0.9026929608027755
s_292418_3815,216.82796563375496,-6.754123730189431,?,claudenet_v3blend8,dr10_south,0.9023880830447494
s_306475_9936,144.63208806575838,-4.253471820273995,?,claudenet_v3blend8,dr10_south,0.9008766491740976
s_109525_6149,50.11682849143362,-41.988769008857865,?,claudenet_v3blend8,dr10_south,0.8998046092646119
s_280236_3343,25.862321819129203,-8.839269693885214,?,claudenet_v3blend8,dr10_south,0.8989868992508242
s_382748_5950,178.73354287378214,8.946872163552653,?,claudenet_v3blend8,dr10_south,0.8983169095104175
s_329820_7294,223.1527074298415,-0.3617142231318563,?,claudenet_v3blend8,dr10_south,0.8973373211503533
s_351303_551,194.5344608205252,3.5357751713299965,?,claudenet_v3blend8,dr10_south,0.897188924211314
s_193485_9963,19.195002670299434,-24.617275087875804,?,claudenet_v3blend8,dr10_south,0.8959135240522161
s_124958_10481,58.17676469000719,-38.42915177690435,?,claudenet_v3blend8,dr10_south,0.8957055780039507
s_467105_3529,266.2775841318529,24.224314141679105,?,claudenet_v3blend8,dr10_south,0.895535753395081
s_132733_1611,349.1420485536747,-37.07364123953075,?,claudenet_v3blend8,dr10_south,0.894932252311785
s_422054_3641,158.09440757427913,15.88458732493545,?,claudenet_v3blend8,dr10_south,0.894932252311785
s_71104_1351,45.13634146439892,-51.7456184343693,?,claudenet_v3blend8,dr10_south,0.894932252311785
s_87091_1882,84.51932009442716,-47.58718100560196,?,claudenet_v3blend8,dr10_south,0.8922270173006783
s_102952_9916,334.80169235097406,-43.80978830334571,?,claudenet_v3blend8,dr10_south,0.8918631821454075
