rank,row_id,RA,DEC,brick,p_final,status
1,s_341950_6732,15.659664347307585,1.982438645230616,0156p020,0.9880456164159028,NEW
2,s_87091_1882,84.51932009442716,-47.58718100560196,0846m475,0.9880456164159028,NEW
3,s_336711_8260,145.95071450129365,0.9906175711301201,1458p010,0.9880456164159028,NEW
4,s_137557_3031,43.39714708658357,-35.792087395838855,0434m357,0.9880456164159028,NEW
5,s_234043_6646,58.442686878018876,-17.11091538690613,0583m170,0.9880456164159028,NEW
6,s_60635_3425,357.9086663955572,-54.88169200614729,3580m550,0.9857234742122063,NEW
7,s_163051_1440,85.99183057560546,-30.580400494372874,0860m305,0.9828249234875687,NEW
8,s_332669_1458,215.26537990286602,0.3719558384818445,2153p002,0.9828249234875687,NEW
9,s_140255_2194,150.17045102070665,-35.14639623726859,1502m352,0.9828009544485518,NEW
10,s_334701_3379,3.290182763557182,0.6675430517826328,0033p007,0.9795156391897345,NEW
11,s_487573_4126,204.60564633655056,28.329452845357867,2045p282,0.9787432908345075,NEW
12,s_50415_2638,72.02209040224767,-58.12256687137508,0721m580,0.9787432908345075,NEW
13,s_59991_885,78.53028347887602,-54.948291869225926,0787m550,0.9787432908345075,NEW
14,s_484722_5717,118.75747598546427,27.638238727157358,1186p277,0.9787432908345075,NEW
15,s_336801_6572,168.48644662120685,1.0679576345662012,1683p010,0.9787432908345075,NEW
16,s_134509_6903,181.73722238079,-36.38186616239386,1817m365,0.9787432908345075,NEW
17,s_302390_1134,200.61326314822378,-5.026257237755271,2006m050,0.9787432908345075,NEW
18,s_329820_7294,223.1527074298415,-0.3617142231318563,2231m002,0.9787432908345075,NEW
19,s_448277_399,217.13715666826678,20.812464429416906,2172p207,0.9787432908345075,NEW
20,s_43736_5986,67.39445978604107,-60.19054868244223,0674m602,0.9787432908345075,NEW
21,s_229220_4404,236.28465722355915,-18.119871467935702,2362m180,0.9787432908345075,NEW
22,s_102952_9916,334.80169235097406,-43.80978830334571,3346m437,0.9787432908345075,NEW
23,s_91761_4280,350.3683054117345,-46.513751738692214,3504m465,0.9787432908345075,NEW
24,s_34114_13604,353.74678738858097,-64.06865216453994,3534m640,0.9787432908345075,NEW
25,s_263391_1862,69.17343882325069,-11.761241660922478,0692m117,0.9787432908345075,NEW
26,s_61411_4762,332.9865863440077,-54.64446815866236,3330m547,0.9787432908345075,NEW
27,s_59958_9352,64.54122413780475,-54.959749585336354,0644m550,0.9787432908345075,NEW
28,s_218895_5179,32.75250141975722,-19.63615959557322,0327m197,0.9787432908345075,NEW
29,s_217653_9799,63.161979346236045,-19.90307129626626,0630m200,0.9787432908345075,NEW
30,s_267446_2233,22.46501399438117,-10.959313091646655,0225m110,0.9787432908345075,NEW
31,s_114863_1655,25.39161114541731,-40.67604702166228,0255m407,0.9787432908345075,NEW
32,s_72804_1021,7.195853371342086,-51.14696208678527,0073m512,0.9787432908345075,NEW
33,s_156679_873,27.283328228537282,-31.627330617665613,0274m317,0.9787432908345075,NEW
34,s_323294_2493,31.556132321946023,-1.2382129191618203,0316m012,0.9787432908345075,NEW
35,s_301694_7496,26.26789085286494,-4.930958695986032,0261m050,0.9787432908345075,NEW
36,s_41562_4122,42.240191806552446,-60.900972350033555,0423m610,0.9787432908345075,NEW
37,s_51135_297,49.90708483355541,-57.85219033947294,0501m577,0.9787432908345075,NEW
38,s_156771_6016,54.32193019963186,-31.87043777345563,0543m317,0.9787432908345075,NEW
39,s_61615_13382,60.84481378475772,-54.54342465038045,0606m545,0.9787432908345075,NEW
40,s_238170_2099,54.69028451532159,-16.323137057649774,0547m162,0.9787432908345075,NEW
41,s_191004_9994,56.935614419417064,-24.908760794444056,0568m250,0.9787432908345075,NEW
42,s_58263_3683,42.71791630411745,-55.40324994158962,0428m555,0.9787432908345075,NEW
43,s_90920_9445,45.951719431110355,-46.44073145707904,0458m465,0.9786992691813567,NEW
44,s_72059_7249,69.45062031661888,-51.6077647694685,0694m515,0.9786992691813567,NEW
45,s_234689_468,227.04266540407014,-16.877133576358688,2271m170,0.9771093039064029,NEW
46,s_76620_11616,72.84997057615517,-50.22247476520096,0726m502,0.9771093039064029,NEW
47,s_240201_5732,222.80849212003383,-15.91451484260001,2227m160,0.9771093039064029,NEW
48,s_334079_4587,207.912133234799,0.47773464589159303,2078p005,0.9770652822532522,NEW
49,s_49718_1894,103.10136164980666,-58.14098526849786,1032m582,0.975132615795261,NEW
50,s_132733_1611,349.1420485536747,-37.07364123953075,3492m370,0.975132615795261,NEW
51,s_69087_269,307.23246273959455,-52.52180031319158,3074m525,0.975132615795261,NEW
52,s_422054_3641,158.09440757427913,15.88458732493545,1580p160,0.975132615795261,NEW
53,s_466576_4482,121.67383236627589,24.35567853597837,1215p242,0.975132615795261,NEW
54,s_106191_11097,3.386523741704734,-42.658102537427766,0032m427,0.975132615795261,NEW
55,s_334950_4837,65.70828437429182,0.7795817477704011,0656p007,0.975132615795261,NEW
56,s_71104_1351,45.13634146439892,-51.7456184343693,0453m517,0.975132615795261,NEW
57,s_256228_4530,37.037768415943546,-12.881194950991159,0370m130,0.975132615795261,NEW
58,s_87901_1676,23.208259429240584,-47.127003865213496,0233m472,0.975132615795261,NEW
59,s_71042_1637,20.17605190960264,-51.731430321051334,0203m517,0.975132615795261,NEW
60,s_227026_6412,20.107343944668305,-18.333718880551583,0201m182,0.9747959224134547,NEW
61,s_181948_573,63.17899834476918,-26.775595735765393,0633m267,0.9745822077922142,NEW
62,s_231338_409,71.1779662112343,-17.517455577293116,0712m175,0.9734986288671564,NEW
63,s_11027_1212,94.432305155382,-75.2351580369046,0948m752,0.9734986288671564,NEW
64,s_426416_3420,213.52750583202217,16.86914284387339,2135p167,0.9731619354853501,NEW
65,s_154277_1278,39.873654627234316,-32.19158483149763,0399m322,0.9717442851643785,NEW
66,s_283840_4653,216.29745337972338,-8.240245921088539,2162m082,0.9695512604461036,NEW
67,s_53358_7268,359.3235378106258,-57.1738265971674,3593m572,0.9693969435999614,NEW
68,s_127189_6791,47.33566502230462,-38.09607267493581,0472m380,0.9693969435999614,NEW
69,s_158079_9664,77.82018502482462,-31.57560844901442,0777m315,0.9693969435999614,NEW
70,s_162970_1791,62.55542501149802,-30.62383812769998,0626m305,0.9693969435999614,NEW
71,s_95070_5055,96.2505154381547,-45.43576116973823,0962m455,0.9693969435999614,NEW
