group_id,RA,DEC,sep_arcsec,size_pix,fov_arcsec,status,bytes,attempts,path
7882,214.5692091298696,52.22881298473248,0.0,80,21.6,skip,3179,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00007882.jpg
7995,190.48924254497842,63.544396913789996,4.346978105182834,96,25.92,skip,4282,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00007995.jpg
8330,318.44794222592105,3.785735913917914,0.0,80,21.6,skip,3361,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00008330.jpg
8617,41.841317456890245,-1.2437308421728175,0.0,80,21.6,skip,2932,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00008617.jpg
8774,25.210968497694015,-0.7347432698665901,0.0,80,21.6,skip,3537,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00008774.jpg
8808,25.151976256456603,0.05997523145565,0.0,80,21.6,skip,2302,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00008808.jpg
9110,0.8038475048070535,31.895285747412544,2.7212118646770604,90,24.3,skip,3958,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00009110.jpg
10212,50.55026855238919,-1.249449350420867,0.0,80,21.6,skip,3800,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00010212.jpg
11834,174.2954637004019,-5.047490244968999,0.0,80,21.6,skip,2908,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00011834.jpg
11853,182.65956671572133,-4.434062640500459,0.0,80,21.6,skip,3764,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00011853.jpg
11910,205.5790456499537,-3.9779768653764553,0.0,80,21.6,skip,3514,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00011910.jpg
11953,203.61692200794565,-1.3969562331204621,0.0,80,21.6,skip,3171,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00011953.jpg
11970,215.75810029757898,-5.67541071471866,1.9940898916136263,87,23.490000000000002,skip,4476,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00011970.jpg
12075,212.2233309632252,-1.4872318904036947,0.0,80,21.6,skip,3302,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012075.jpg
12097,217.98673364314737,-2.5062732857910617,0.0,80,21.6,skip,3241,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012097.jpg
12111,219.80403036979322,-0.9940464369923869,0.0,80,21.6,skip,3092,0,/raid/benson/git/agentic-lensing/reproductions/hsu-2025/figs/cutouts_jpeg_dr10/group_00012111.jpg
