,Index,Image,Name,Tractor Type,Score,Score Diff,Probability,Spec,Photo-z,ResNet Model,Ref,g mag,r mag,z mag,Region
30,31,,DESI-027.4831-28.5753,DC,3.5,1,0.97,,0.557+/-0.008,L18,,21.32,19.43,18.14,DECaLS
31,32,,DESI-027.9088-04.1209,DC,3.5,1,0.81,0.6412,,L18,,21.89,20.11,18.58,DECaLS
32,33,,DESI-027.9613-10.0977,DC,4,0,1.0,0.5234,,L18,,22.05,20.36,18.87,DECaLS
33,34,,DESI-029.4044-12.3606,REX,4,0,0.96,,0.747+/-0.169,shielded,,20.77,20.19,19.2,DECaLS
34,35,,DESI-030.4025+03.7476,DC,4,0,0.64,0.1696,,L18,,19.16,17.93,17.16,DECaLS
35,36,,DESI-031.3208-01.3890,REX,3.5,1,1.0,0.6992,,shielded,d,21.01,20.18,19.05,DECaLS
36,37,,DESI-031.6711-17.9929,REX,3.5,1,0.1,0.1548,,shielded,,20.49,19.62,19.27,DECaLS
37,38,,DESI-031.7778-27.4457,DC,4,0,1.0,,0.294+/-0.018,shielded,d,18.78,17.26,16.37,DECaLS
38,39,,DESI-032.4042-25.3555,DC,3.5,1,0.49,,0.224+/-0.015,L18,,18.15,16.87,16.13,DECaLS
39,40,,DESI-032.4765-35.7990,REX,4,0,0.98,,0.380+/-0.076,shielded,,21.42,19.78,18.95,DECaLS
40,41,,DESI-034.2366-59.8485,REX,4,0,0.66,,0.498+/-0.017,shielded,,21.01,19.34,18.29,DECaLS
41,42,,DESI-035.2405-38.5511,REX,4,0,0.45,,0.407+/-0.038,shielded,d,18.98,17.32,16.39,DECaLS
42,43,,DESI-035.7946-22.8049,DC,3.5,1,1.0,,0.890+/-0.048,L18,,22.44,21.1,19.33,DECaLS
43,44,,DESI-036.2340+08.8300,DC,4,0,1.0,,0.326+/-0.035,L18,,18.15,16.5,15.61,DECaLS
44,45,,DESI-036.8326-24.1921,REX,3.5,1,0.39,,0.405+/-0.022,shielded,,19.27,17.43,16.46,DECaLS
45,46,,DESI-037.0621-29.3949,DC,3.5,1,0.93,,0.312+/-0.013,L18,,19.74,18.11,17.25,DECaLS
46,47,,DESI-037.4837-31.1730,DC,3.5,1,0.99,,0.466+/-0.075,L18,,22.06,20.28,19.17,DECaLS
47,48,,DESI-038.0264-35.4899,REX,3.5,1,1.0,,0.550+/-0.097,L18,,21.31,20.0,18.9,DECaLS
48,49,,DESI-038.8136-21.5095,REX,4,0,0.94,,0.328+/-0.035,shielded,,22.15,20.64,19.83,DECaLS
49,50,,DESI-040.2205-05.8472,DC,3.5,1,0.97,0.5238,,L18,,21.68,19.81,18.52,DECaLS
50,51,,DESI-040.5664-25.1054,REX,4,0,0.82,,0.325+/-0.045,shielded,,21.68,20.12,19.31,DECaLS
51,52,,DESI-040.7627-00.1001,DC,3.5,1,1.0,0.4127,,L18,d,19.95,18.14,17.19,DECaLS
52,53,,DESI-041.7608+03.9333,DC,4,0,0.3,0.2603,,shielded,,18.53,16.99,16.14,DECaLS
53,54,,DESI-042.0371-02.2771,REX,3.5,1,0.93,,0.247+/-0.018,L18,,20.04,18.66,17.9,DECaLS
54,55,,DESI-043.1867-13.2239,REX,3.5,1,0.67,,0.431+/-0.033,shielded,,22.31,20.58,19.67,DECaLS
55,56,,DESI-043.5347-28.7960,DC,4,0,0.93,,0.632+/-0.021,L18,,22.19,20.3,18.82,DECaLS
56,57,,DESI-043.6660-04.3071,DC,3.5,1,1.0,0.288,,L18,,19.35,17.68,16.79,DECaLS
57,58,,DESI-044.4121-22.1575,DC,3.5,1,0.46,,0.484+/-0.070,shielded,,21.01,19.36,18.49,DECaLS
58,59,,DESI-044.4344-20.1488,DC,3.5,1,0.49,,0.711+/-0.025,L18,,23.07,21.09,19.42,DECaLS
59,60,,DESI-044.7161-19.9477,REX,3.5,1,0.89,,0.535+/-0.327,shielded,,20.04,19.79,19.07,DECaLS
60,61,,DESI-044.9811+01.1387,DC,3.5,1,1.0,,0.834+/-0.079,L18,,21.54,20.39,18.66,DECaLS
61,62,,DESI-046.7690-06.4805,DC,4,0,0.33,,0.480+/-0.105,L18,,22.11,20.7,19.8,DECaLS
62,63,,DESI-047.1434-32.9919,REX,3.5,1,0.22,,0.500+/-0.091,shielded,,20.7,19.76,19.24,DECaLS
63,64,,DESI-049.8264+02.0934,REX,3.5,1,0.9,0.3189,,shielded,,22.33,20.35,19.37,DECaLS
