name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z
DESI-043.5347-28.7960,43.5347,-28.796,A,4.0,l18,DECaLS,0.93,DC,,0.632+/-0.021
DESI-043.6660-04.3071,43.666,-4.3071,A,3.5,l18,DECaLS,1.0,DC,0.288,nan
DESI-044.4121-22.1575,44.4121,-22.1575,A,3.5,shielded,DECaLS,0.46,DC,,0.484+/-0.070
DESI-044.4344-20.1488,44.4344,-20.1488,A,3.5,l18,DECaLS,0.49,DC,,0.711+/-0.025
DESI-044.7161-19.9477,44.7161,-19.9477,A,3.5,shielded,DECaLS,0.89,REX,,0.535+/-0.327
DESI-044.9811+01.1387,44.9811,1.1387,A,3.5,l18,DECaLS,1.0,DC,,0.834+/-0.079
DESI-046.7690-06.4805,46.769,-6.4805,A,4.0,l18,DECaLS,0.33,DC,,0.480+/-0.105
DESI-047.1434-32.9919,47.1434,-32.9919,A,3.5,shielded,DECaLS,0.22,REX,,0.500+/-0.091
DESI-049.8264+02.0934,49.8264,2.0934,A,3.5,shielded,DECaLS,0.9,REX,0.3189,nan
DESI-051.8321-21.6081,51.8321,-21.6081,A,3.5,l18,DECaLS,0.16,REX,,0.502+/-0.201
DESI-053.6254-13.1866,53.6254,-13.1866,A,4.0,l18,DECaLS,1.0,DC,,0.362+/-0.010
DESI-055.0891-25.5584,55.0891,-25.5584,A,3.5,l18,DECaLS,1.0,DC,,0.667+/-0.047
DESI-055.7976-28.4777,55.7976,-28.4777,A,4.0,l18,DECaLS,1.0,DC,,0.447+/-0.049
DESI-057.2074-10.2962,57.2074,-10.2962,A,4.0,l18,DECaLS,1.0,DC,,0.745+/-0.075
DESI-057.9070-07.8706,57.907,-7.8706,A,3.5,l18,DECaLS,1.0,DC,,0.677+/-0.051
DESI-058.6486-30.5959,58.6486,-30.5959,A,4.0,l18,DECaLS,0.12,DC,,0.173+/-0.021
DESI-058.7926-18.5262,58.7926,-18.5262,A,4.0,l18,DECaLS,1.0,DC,,0.282+/-0.011
DESI-060.5238-22.0990,60.5238,-22.099,A,4.0,l18,DECaLS,1.0,DC,,0.367+/-0.051
DESI-060.7613-21.3645,60.7613,-21.3645,A,3.5,shielded,DECaLS,0.28,REX,,0.455+/-0.100
DESI-060.9953-26.0348,60.9953,-26.0348,A,3.5,shielded,DECaLS,0.8,REX,,0.289+/-0.083
DESI-063.0145-18.9874,63.0145,-18.9874,A,3.5,shielded,DECaLS,0.18,REX,,0.572+/-0.073
DESI-064.8536-25.2248,64.8536,-25.2248,A,4.0,l18,DECaLS,0.98,DC,,0.360+/-0.012
DESI-065.6447-28.0652,65.6447,-28.0652,A,4.0,l18,DECaLS,0.53,DC,,0.641+/-0.036
DESI-066.1601-07.6524,66.1601,-7.6524,A,4.0,shielded,DECaLS,0.79,REX,,0.278+/-0.049
DESI-066.3798-37.7174,66.3798,-37.7174,A,3.5,shielded,DECaLS,0.23,REX,,0.290+/-0.041
DESI-067.4729-29.9597,67.4729,-29.9597,A,3.5,l18,DECaLS,0.25,DC,,0.716+/-0.015
DESI-069.0007-11.5477,69.0007,-11.5477,A,4.0,l18,DECaLS,0.91,DC,,0.425+/-0.033
DESI-070.1899-18.4737,70.1899,-18.4737,A,3.5,l18,DECaLS,0.63,DC,,0.526+/-0.010
DESI-070.1928-26.9754,70.1928,-26.9754,A,4.0,l18,DECaLS,0.82,DC,,0.500+/-0.011
DESI-070.4130-09.7774,70.413,-9.7774,A,4.0,l18,DECaLS,1.0,DC,,0.437+/-0.036
DESI-070.6171-09.1904,70.6171,-9.1904,A,3.5,l18,DECaLS,0.55,DC,,0.588+/-0.016
DESI-073.5286-10.2227,73.5286,-10.2227,A,3.5,l18,DECaLS,0.89,DC,,0.311+/-0.130
DESI-073.9030-25.5129,73.903,-25.5129,A,4.0,shielded,DECaLS,0.51,REX,,0.475+/-0.051
DESI-074.9643-30.7236,74.9643,-30.7236,A,4.0,l18,DECaLS,1.0,DC,,0.431+/-0.017
DESI-075.2790-24.4179,75.279,-24.4179,A,4.0,l18,DECaLS,0.9,DC,,0.289+/-0.106
DESI-078.3561-30.8433,78.3561,-30.8433,A,4.0,l18,DECaLS,0.63,DC,,0.387+/-0.021
DESI-081.7547-18.9674,81.7547,-18.9674,A,4.0,l18,DECaLS,1.0,DC,,0.439+/-0.013
DESI-082.1548-26.5667,82.1548,-26.5667,A,4.0,l18,DECaLS,1.0,DC,,0.840+/-0.043
DESI-083.5074-25.3491,83.5074,-25.3491,A,3.5,shielded,DECaLS,0.94,REX,,0.477+/-0.064
DESI-086.3066-26.5884,86.3066,-26.5884,A,4.0,l18,DECaLS,1.0,DC,,0.448+/-0.083
DESI-087.1525-36.2427,87.1525,-36.2427,A,4.0,l18,DECaLS,0.42,REX,,0.305+/-0.036
DESI-090.9854-35.9683,90.9854,-35.9683,A,4.0,l18,DECaLS,0.9,REX,,0.529+/-0.115
DESI-094.5639+50.3059,94.5639,50.3059,A,3.5,l18,MzLS,1.0,DC,,0.522+/-0.020
DESI-102.2440+36.2021,102.244,36.2021,A,3.5,l18,MzLS,1.0,DC,,0.659+/-0.047
DESI-104.1909+38.7456,104.1909,38.7456,A,4.0,l18,MzLS,1.0,DC,0.4549,nan
DESI-107.5775+40.1752,107.5775,40.1752,A,4.0,l18,MzLS,1.0,DC,0.2928,nan
DESI-109.4199+46.4087,109.4199,46.4087,A,3.5,l18,MzLS,0.9,DC,,0.429+/-0.074
DESI-109.9018+27.9032,109.9018,27.9032,A,4.0,l18,DECaLS,0.63,DC,,0.533+/-0.016
DESI-109.9255+57.3569,109.9255,57.3569,A,4.0,l18,MzLS,0.21,DC,,0.747+/-0.044
DESI-110.4891+49.8801,110.4891,49.8801,A,4.0,l18,MzLS,0.16,DC,,0.430+/-0.022
DESI-111.9670+30.2010,111.967,30.201,A,3.5,shielded,DECaLS,0.23,REX,0.1527,nan
DESI-115.3417+37.4889,115.3417,37.4889,A,3.5,l18,MzLS,0.96,DC,0.6031,nan
DESI-116.3092+33.6326,116.3092,33.6326,A,3.5,l18,MzLS,0.33,DC,0.5642,nan
DESI-118.4491+20.9528,118.4491,20.9528,A,4.0,l18,DECaLS,0.99,DC,0.5866,nan
DESI-118.8480+34.7610,118.848,34.761,A,4.0,l18,MzLS,1.0,DC,0.7224,nan
DESI-130.6476+30.3670,130.6476,30.367,A,3.5,l18,DECaLS,0.33,DC,0.5041,nan
DESI-131.6362-01.9047,131.6362,-1.9047,A,3.5,l18,DECaLS,1.0,DC,0.5422,nan
DESI-134.3046+16.4322,134.3046,16.4322,A,3.5,l18,DECaLS,0.38,DC,0.4441,nan
DESI-139.5922+61.1759,139.5922,61.1759,A,3.5,l18,MzLS,0.29,REX,,0.242+/-0.062
DESI-141.4491+37.3023,141.4491,37.3023,A,3.5,l18,MzLS,0.65,DC,0.5527,nan
DESI-142.0189+20.5292,142.0189,20.5292,A,3.5,l18,DECaLS,0.2,DC,,0.198+/-0.006
DESI-142.9212-06.7297,142.9212,-6.7297,A,4.0,l18,DECaLS,0.1,REX,,0.264+/-0.032
DESI-147.9185+07.5090,147.9185,7.509,A,4.0,l18,DECaLS,0.15,DC,0.3527,nan
DESI-148.1676+34.5795,148.1676,34.5795,A,4.0,shielded,MzLS,0.5,DC,0.3963,nan
